placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-07-05,,50,,,65,<5,,
p02,2013-07-05,20,40,90,,40,<5,,
p03,2013-07-05,55,40,100,,,10,,
p04,2013-07-05,,75,75,,10,<5,,
p05,2013-07-05,<5,<5,100,,10,,,
p06,2013-07-05,10,90,<5,,80,40,,
p07,2013-07-05,,5,100,,10,5,,
p08,2013-07-05,,70,30,,30,30,,
p09,2013-07-05,,15,,,75,,,10
p10,2013-07-05,,80,,,20,,,
p11,2013-07-04,,40,,,50,5,,
p12,2013-07-04,,60,,,100,,,
p13,2013-07-04,,10,,,90,<5,,
p14,2013-07-04,,60,,,95,20,,
p15,2013-07-04,,90,,,10,<5,,
p16,2013-07-04,,30,,,90,50,,
p17,2013-07-04,,40,40,,25,<5,,
p18,2013-07-04,,,50,9999,80,,,
p19,2013-07-04,,40,90,,50,,,
p20,2013-07-04,15,,,,90,<5,,
