placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p10,2013-07-05,Molinia,,,,,,,,,,,,,,,,,,,,
p10,2013-07-05,Eriophorum,,,,,,,,,,,,,,,,,,,,
p10,2013-07-05,Polytrick,,,,,,,,,,,,,,,,,,,,
p10,2013-07-05,Mousse,,,,,,,,,,,,,,,,,,,,
p11,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p11,2013-07-04,Erica,26.50,19.00,11.00,13.00,10.00,15.00,11.00,12.00,7.00,21.00,,,,,,,,,,
p11,2013-07-04,Sphagnum,,,,,,,,,,,,,,,,,,,,
p11,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p11,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p11,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p11,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p11,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p12,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p12,2013-07-04,Erica,22.00,31.00,41.00,27.00,36.00,22.00,,,,,,,,,,,,,,
p12,2013-07-04,Sphagnum,,,,,,,,,,,,,,,,,,,,
p12,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p12,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p12,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p12,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p12,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p13,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p13,2013-07-04,Erica,33.00,34.00,34.00,19.00,17.00,5.00,26.00,4.00,,,,,,,,,,,,
p13,2013-07-04,Sphagnum,,,,,,,,,,,,,,,,,,,,
p13,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p13,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p13,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p13,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p13,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p14,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p14,2013-07-04,Erica,13.00,6.00,17.00,6.00,15.00,20.00,19.00,14.00,,,,,,,,,,,,
p14,2013-07-04,Sphagnum,,,,,,,,,,,,,,,,,,,,
p14,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p14,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p14,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p14,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p14,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p15,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p15,2013-07-04,Erica,22.50,23.50,10.00,14.00,10.00,16.50,28.00,15.00,24.50,11.00,16.50,,,,,,,,,
p15,2013-07-04,Sphagnum,,,,,,,,,,,,,,,,,,,,
p15,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p15,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p15,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p15,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p15,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p16,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p16,2013-07-04,Erica,3.00,11.00,3.00,9.00,21.00,8.00,4.00,10.00,,,,,,,,,,,,
p16,2013-07-04,Sphagnum,,,,,,,,,,,,,,,,,,,,
p16,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p16,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p16,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p16,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p16,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p17,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p17,2013-07-04,Erica,24.00,23.50,25.00,10.50,6.00,6.50,9.50,6.50,11.50,10.00,6.50,6.50,,,,,,,,
p17,2013-07-04,Sphagnum,39.00,,,,,,,,,,,,,,,,,,,
p17,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p17,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
p17,2013-07-04,Eriophorum,,,,,,,,,,,,,,,,,,,,
p17,2013-07-04,Polytrick,,,,,,,,,,,,,,,,,,,,
p17,2013-07-04,Mousse,,,,,,,,,,,,,,,,,,,,
p18,2013-07-04,Calluna,,,,,,,,,,,,,,,,,,,,
p18,2013-07-04,Erica,,,,,,,,,,,,,,,,,,,,
p18,2013-07-04,Sphagnum,54.00,,,,,,,,,,,,,,,,,,,
p18,2013-07-04,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p18,2013-07-04,Molinia,,,,,,,,,,,,,,,,,,,,
