placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-07-05,25,25,10:44,11:09,6.5,24.2,100700,100800,4.31,camion,46.8,camion
p02,2013-07-05,13,14,11:56,12:18,7.10,4.8,100800,100700,4.343,camion,53.1,camion
p03,2013-07-05,25.5,15.5,13:07,13:20,13.8,13.6,100700,100800,4.242,camion,41,camion
p04,2013-07-05,31.5,27.5,10:48,11:01,7.77,10.6,100600,100600,5.03,camion,42.4,camion
p05,2013-07-05,17.5,13,11:57,12:13,4.68,3.18,100600,100700,4.652,camion,34.6,camion
p06,2013-07-05,15,-3.5,13:59,14:14,14.3,9.8,100800,100700,4.503,camion,34,camion
p07,2013-07-05,11,4.5,12:48,13:01,10.29,8.6,100700,100700,4.462,camion,39.6,camion
p08,2013-07-05,43.5,46,15:10,15:22,7.10,23.7,100700,100600,4.273,camion,35.4,camion
p09,2013-07-05,23.5,13.5,14:27,14:36,5.33,5.19,100600,100600,4.251,camion,40.3,camion
p10,2013-07-05,29,25.5,13:41,13:52,10.16,9.6,100700,100700,5.146,camion,54.8,camion
p11,2013-07-04,36,23,11:33,11:49,2.19,7.45,100200,100200,4.23,camion,90.9,camion
p12,2013-07-04,49,38,11:46,11:58,23.0,5.90,100300,100300,4.66,camion,64.6,camion
p13,2013-07-04,71,64.5,12:25,12:42,3.92,4.57,100200,100200,4.45,camion,57.9,camion
p14,2013-07-04,67,62,12:31,12:52,4.30,4.80,100300,100300,4.50,camion,37.4,camion
p15,2013-07-04,55,53,13:11,13:24,2.45,4.09,100200,100200,4.48,camion,42.2,camion
p16,2013-07-04,67.5,62.5,13:25,13:32,4.86,4.86,100300,100300,4.47,camion,54.7,camion
p17,2013-07-04,9,6,13:52,14:10,5.16,4.96,100300,100200,4.71,camion,39.8,camion
p18,2013-07-04,64.5,61,14:04,14:20,2.05,1.72,100300,100300,4.16,camion,49.6,camion
p19,2013-07-04,20,18,14:40,14:52,3.49,4.62,100300,100300,3.96,camion,56.5,camion
p20,2013-07-04,18.5,15,14:45,14:57,3.62,5.06,100400,100300,4.53,camion,41.2,camion
