placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-07-05,48.20,58.57,55.43,72.34,76.72
p02,2013-07-05,100.00,45.34,88.06,48.55,47.60
p03,2013-07-05,35.63,35.58,31.27,29.73,31.70
p04,2013-07-05,41.90,45.75,44.52,31.42,54.67
p05,2013-07-05,79.20,46.30,89.34,64.12,66.00
p06,2013-07-05,49.85,50.17,52.20,50.47,56.14
p07,2013-07-05,47.03,53.16,57.22,48.76,50.78
p08,2013-07-05,48.45,47.42,55.03,36.80,42.51
p09,2013-07-05,59.31,29.70,84.68,31.00,26.16
p10,2013-07-05,56.57,47.76,46.04,47.79,50.01
p11,2013-07-04,35.17,35.85,47.20,29.13,39.33
p12,2013-07-04,51.30,93.94,40.36,49.31,95.55
p13,2013-07-04,52.55,65.74,32.22,26.20,29.65
p14,2013-07-04,98.99,67.78,84.83,100.00,100.00
p15,2013-07-04,49.77,49.05,35.88,42.13,35.92
p16,2013-07-04,61.71,76.97,100.00,100.00,83.80
p17,2013-07-04,66.09,52.57,43.21,35.35,44.72
p18,2013-07-04,75.38,100.00,100.00,100.00,100.00
p19,2013-07-04,57.89,49.55,71.59,49.98,50.01
p20,2013-07-04,87.69,100.00,100.00,100.00,100.00
