placette,date,HR1,HR2,HR3,HR4,HR5
p01,2014-03-19,100,62.28,100,100,100
p02,2014-03-19,50.18,61.89,66.91,54.97,55.26
p03,2014-03-19,27.72,18.02,22.97,28.86,30.0
p04,2014-03-19,67.07,73.05,100,100,75.79
p05,2014-03-19,100,100,100,86.88,100
p06,2014-03-19,100,100,100,100,100
p07,2014-03-19,94.96,86.18,100,100,84.23
p08,2014-03-19,55.23,66.47,100,80.17,78.16
p09,2014-03-19,65.17,82.28,47.99,88.29,80.42
p10,2014-03-19,100,100,100,100,100
p11,2014-03-20,31.55,58.35,36.90,33.82,37.46
p12,2014-03-20,59.48,66.71,95.13,100,82.69
p13,2014-03-20,71.25,78.97,40.14,100,95.20
p14,2014-03-20,100,90.98,100,100,100
p15,2014-03-20,63.9,100,86.21,50.78,100
p16,2014-03-20,79.7,100,84.39,100,100
p17,2014-03-20,100,72.69,81.95,100,92.84
p18,2014-03-20,69.91,68.45,92.53,100,98.5
p19,2014-03-20,100,200,70.17,100,100
p20,2014-03-20,100,100,100,76.25,100
