placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p01,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p09,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Calluna,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Erica,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Molinia,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p10,2014-03-19,Mousse,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Calluna,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Erica,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Sphagnum,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Molinia,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Eriophorum,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Polytrick,,,,,,,,,,,,,,,,,,,,
p11,2014-03-20,Mousse,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Calluna,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Erica,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Sphagnum,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Molinia,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Eriophorum,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Polytrick,,,,,,,,,,,,,,,,,,,,
p12,2014-03-20,Mousse,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Calluna,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Erica,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Sphagnum,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Molinia,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Eriophorum,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Polytrick,,,,,,,,,,,,,,,,,,,,
p13,2014-03-20,Mousse,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Calluna,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Erica,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Sphagnum,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Molinia,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Eriophorum,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Polytrick,,,,,,,,,,,,,,,,,,,,
p14,2014-03-20,Mousse,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Calluna,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Erica,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Sphagnum,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Molinia,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Eriophorum,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Polytrick,,,,,,,,,,,,,,,,,,,,
p15,2014-03-20,Mousse,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Calluna,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Erica,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Sphagnum,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Molinia,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Eriophorum,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Polytrick,,,,,,,,,,,,,,,,,,,,
p16,2014-03-20,Mousse,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Calluna,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Erica,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Sphagnum,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Molinia,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Eriophorum,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Polytrick,,,,,,,,,,,,,,,,,,,,
p17,2014-03-20,Mousse,,,,,,,,,,,,,,,,,,,,
