placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2014-03-19,22,22,11:25,11:32,12.96,12.50,100700,100700,4.63,camion,47.4,camion
p02,2014-03-19,12,10,11:37,11:43,15.4,14.5,100700,100700,4.55,camion,39.9,camion
p03,2014-03-19,25,10,12:30,12:21,16.20,15.50,100700,100700,4.46,camion,42.1,camion
p04,2014-03-19,26,34,12:08,12:15,8.87,7.39,100800,100700,4.91,camion,31.6,camion
p05,2014-03-19,12,15,12:48,12:56,15.92,14.32,100700,100600,5.04,camion,31.2,camion
p06,2014-03-19,4,0,12:54,13:03,14.20,15.60,100700,100700,4.87,camion,36.5,camion
p07,2014-03-19,11,6,13:35,13:44,15.20,15.20,100600,100600,4.41,camion,43.5,camion
p08,2014-03-19,43,52,13:28,13:37,13.96,16.10,100600,100600,4.53,camion,30.0,camion
p09,2014-03-19,23,14,14:13,14:21,4.10,1.70,100600,100500,4.59,camion,32.6,camion
p10,2014-03-19,25,28,14:07,14:15,15.02,12.24,100600,100500,5.06,camion,36.5,camion
p11,2014-03-20,35,22,10:48,10:55,14.50,13.90,99500,99500,5.01,camion,84,camion
p12,2014-03-20,43,47,10:53,11:08,10.51,8.53,99600,99600,4.75,camion,42.1,camion
p13,2014-03-20,71,68,11:28,11:42,14.30,13.50,99500,99500,4.69,camion,43.4,camion
p14,2014-03-20,62,66,11:47,11:55,14.39,16.85,99600,99600,4.64,camion,38.9,camion
p15,2014-03-20,54.5,50,12:09,12:16,14.50,13.60,99500,99400,4.90,camion,42.9,camion
p16,2014-03-20,63,68,12:32,12:40,14.9,14.79,99500,99500,4.71,camion,46.6,camion
p17,2014-03-20,9,6,12:50,12:58,16.60,16.50,99400,99400,5.04,camion,38.0,camion
p18,2014-03-20,65,65,13:13,13:21,12.39,12.27,99400,99400,4.41,camion,43.4,camion
p19,2014-03-20,21,13.5,13:35,13:45,13.30,13.20,99400,99300,4.11,camion,60.9,camion
p20,2014-03-20,17,17,13:55,14:03,14.15,13.34,99400,99400,4.82,camion,39.3,camion
