placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-10-23,23,21,11:00,11:10,5.75,5.84,98700,98700,4.41,camion,217,camion
p02,2013-10-23,14.5,13.5,10:58,11:09,7.8,7.8,98600,98600,4.42,camion,56.8,camion
p03,2013-10-23,25.8,12.5,11:37,11:49,10.01,12.24,98700,98700,4.25,camion,57.7,camion
p04,2013-10-23,33,26.5,11:37,11:47,5.90,8.62,98800,98800,4.84,camion,41.8,camion
p05,2013-10-23,18.5,12.5,12:14,12:26,2.61,4.76,98800,98800,4.90,camion,46.3,camion
p06,2013-10-23,2.5,-3,12:16,12:28,2.24,4.95,98800,98700,4.74,camion,38.6,camion
p07,2013-10-23,12,4,12:59,13:08,2.45,5.58,98800,98800,4.58,camion,43.5,camion
p08,2013-10-23,48.1,42,13:00,13:11,3.52,2.95,98800,98800,4.00,camion,64.7,camion
p09,2013-10-23,23.5,14,13:51,14:03,5.4,10.22,98800,98800,3.98,camion,65.9,camion
p10,2013-10-23,27.5,25.5,13:39,13:50,8.7,3.18,98800,98800,4.67,camion,38.1,camion
p11,2013-10-22,36.5,22.5,14:15,14:29,4.03,3.64,98200,98200,4.74,labo,51.0,labo
p12,2013-10-22,52,39,14:04,14:15,1.93,2.43,98200,98200,4.87,labo,66.2,labo
p13,2013-10-22,73,62,13:40,13:49,3.22,3.23,98200,98200,4.49,labo,,
p14,2013-10-22,67,58,13:28,13:37,2.80,3.00,98200,98200,4.55,labo,52.3,labo
p15,2013-10-22,57,50.5,12:52,13:01,4.03,2.66,98300,98300,4.60,labo,43.9,labo
p16,2013-10-22,69,58.5,12:45,13:03,4.80,2.60,98300,98200,4.43,labo,62.0,labo
p17,2013-10-22,12.5,9.5,12:01,12:10,3.44,7.25,98300,98300,4.65,labo,36.9,labo
p18,2013-10-22,68.5,61.5,11:56,12:10,1.45,2.10,98300,98300,4.18,labo,51.7,labo
p19,2013-10-22,24.5,13,11:15,11:24,8.5,8.9,98400,98300,3.99,labo,64.4,labo
p20,2013-10-22,20,14.5,11:21,11:29,7.64,6.37,98300,98300,4.49,labo,42.2,labo
