placette,date,TairDeb,TairFin,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-10-23,17.8,19.2,14.9,12.5,12.1,11.9,11.8,11.7,11.6,11.4,11.4,11.3,11.4,11.4,11.4,11.4
p02,2013-10-23,16.6,20.7,18.5,14.6,14.2,14.3,14.2,13.8,13.7,13.5,13.4,13.3,13.2,13.2,13.2,13.0
p03,2013-10-23,20.5,22.0,21.9,15.4,14.5,14.1,13.8,13.7,13.5,13.4,13.3,13.2,13.2,13.1,13.0,12.8
p04,2013-10-23,18.3,19.3,17.6,15.7,12.8,12.6,12.4,12.3,12.0,11.9,11.8,11.7,11.7,,,
p05,2013-10-23,19.7,21.4,17.7,14.4,13.0,12.8,12.5,12.3,11.8,11.4,11.2,11.1,11.0,11.0,11.0,10.8
p06,2013-10-23,21.0,22.5,21.1,14.3,13.3,13.0,12.8,12.7,12.5,12.4,12.3,12.2,12.2,12.1,12.1,12.0
p07,2013-10-23,20.6,20.9,19.5,15.7,14.9,14.5,14.2,14.0,13.9,13.5,13.3,13.1,12.9,12.8,12.8,12.7
p08,2013-10-23,19.8,19.6,18.7,13.0,12.5,12.3,12.3,12.3,12.2,12.1,12.0,11.9,12.0,11.9,11.9,11.9
p09,2013-10-23,21.0,21.0,26.2,15.8,14.3,14.0,13.8,13.5,13.4,13.3,13.2,13.2,13.2,13.2,13.1,13.0
p10,2013-10-23,22.0,21.4,18.3,13.8,12.2,11.9,11.7,11.5,11.4,11.2,11.0,11.0,10.8,10.8,,
p11,2013-10-22,21.8,22.8,19.8,13.4,12.3,11.8,11.6,11.5,11.4,11.4,11.3,11.2,11.2,11.0,11.0,10.9
p12,2013-10-22,22.0,22.2,21.7,13.9,12.7,12.4,12.2,12.2,12.3,,,,,,,
p13,2013-10-22,21.5,22.8,18.0,14.8,11.8,10.7,10.4,10.4,10.5,10.2,,,,,,
p14,2013-10-22,21.3,22.7,22.2,13.3,11.7,11.4,11.3,11.3,11.3,,,,,,,
p15,2013-10-22,21.7,21.3,18.2,13.6,11.8,11.1,10.8,10.8,10.8,10.8,,,,,,
p16,2013-10-22,20.9,21.4,21.4,13.5,12.1,12.1,11.9,11.9,11.9,11.9,,,,,,
p17,2013-10-22,21.4,21.1,19.7,13.8,12.9,12.9,12.9,13.3,13.7,13.6,13.6,13.3,13.1,12.9,,
p18,2013-10-22,21.3,21.1,20.0,16.6,13.2,12.3,12.0,12.0,11.9,11.9,,,,,,
p19,2013-10-22,18.4,18.5,20.8,14.5,12.2,12.0,12.1,12.1,12.1,12.0,12.0,12.0,12.0,,,
p20,2013-10-22,18.4,19.3,17.8,15.2,13.9,13.8,13.7,13.6,13.4,13.3,12.9,,,,,
