placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-10-23,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-10-23,Erica,27,18.5,24,22.5,16.5,11,11.5,8,8,24.5,,,,,,,,,,
p01,2013-10-23,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2013-10-23,Calluna,8,13.5,15,9.5,23,13,15.5,17.5,10,8.5,,,,,,,,,,
p02,2013-10-23,Erica,30,5.5,7.5,26,25,27,37.5,10,4.5,12.5,,,,,,,,,,
p02,2013-10-23,Sphagnum,14.5,,,,,,,,,,,,,,,,,,,
p02,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-10-23,Calluna,19,18,31.5,24,17.5,19,12.5,25,10,22,9,,,,,,,,,
p03,2013-10-23,Erica,24,7,3,6.5,19,6.5,3.5,6,10,4,,,,,,,,,,
p03,2013-10-23,Sphagnum,14.8,,,,,,,,,,,,,,,,,,,
p03,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-10-23,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-10-23,Erica,14.5,11.5,19,15,20.5,14,9.5,9,11,16,,,,,,,,,,
p04,2013-10-23,Sphagnum,52.5,,,,,,,,,,,,,,,,,,,
p04,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-10-23,Calluna,12,8,11.5,12.5,,,,,,,,,,,,,,,,
p05,2013-10-23,Erica,4.5,5.5,3,5.5,10,2,6,11,5,2.5,,,,,,,,,,
p05,2013-10-23,Sphagnum,23,,,,,,,,,,,,,,,,,,,
p05,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-10-23,Calluna,17.5,12.5,,,,,,,,,,,,,,,,,,
p06,2013-10-23,Erica,17,27,20,9,7,4.5,14.5,9,20,12.5,,,,,,,,,,
p06,2013-10-23,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2013-10-23,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2013-10-23,Erica,18.5,12,24.5,26,17,17.5,28,,,,,,,,,,,,,
p07,2013-10-23,Sphagnum,4,,,,,,,,,,,,,,,,,,,
p07,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2013-10-23,Calluna,,,,,,,,,,,,,,,,,,,,
p08,2013-10-23,Erica,30.5,28.5,20.5,25.5,15,6,13.5,7,14.5,30,,,,,,,,,,
p08,2013-10-23,Sphagnum,41,,,,,,,,,,,,,,,,,,,
p08,2013-10-23,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,2013-10-23,Molinia,,,,,,,,,,,,,,,,,,,,
p08,2013-10-23,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,2013-10-23,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,2013-10-23,Mousse,,,,,,,,,,,,,,,,,,,,
