placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-10-23,,50,,,45,5,,
p02,2013-10-23,10,35,30,,20,<5,,
p03,2013-10-23,30,15,45,,,10,,
p04,2013-10-23,,75,75,,,<5,,
p05,2013-10-23,<5,<5,100,,10,,,
p06,2013-10-23,<5,60,<5,,10,20,,
p07,2013-10-23,,5,100,,10,,,
p08,2013-10-23,,45,15,,15,25,,
p09,2013-10-23,,30,<1,,70,,,
p10,2013-10-23,,95,,,5,,,
p11,2013-10-22,,75,,,10,<5,,
p12,2013-10-22,,50,,,100,,,
p13,2013-10-22,,10,,,75,,,
p14,2013-10-22,,30,,,100,10,,
p15,2013-10-22,,90,,,10,,,20
p16,2013-10-22,,30,,,95,20,,
p17,2013-10-22,,80,30,,10,,,
p18,2013-10-22,,<5,50,,90,,<5,
p19,2013-10-22,,70,65,,80,,,
p20,2013-10-22,,<5,,,95,,,
