placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-07-24,29,24,14:42,14:48,21.05,19.40,99600,99600,4.31,camion,382,camion
p02,2013-07-24,16,11.5,14:38,14:48,17.79,17.65,99500,99500,4.33,camion,55.0,camion
p03,2013-07-24,34,12.5,14:02,14:11,13.3,12.56,99500,99500,4.59,camion,38.6,camion
p04,2013-07-24,37,29,14:30,13:55,15.7,15.8,99600,99600,5.09,camion,47.9,camion
p05,2013-07-24,24,12.5,13:22,13:37,18.4,13.4,99600,99600,4.85,camion,31.6,camion
p06,2013-07-24,9,-6,13:10,13:21,22.23,18.51,99600,99600,4.80,camion,28.4,camion
p07,2013-07-24,24,7.5,12:31,12:46,15.75,16.60,99600,99600,4.33,camion,50.4,camion
p08,2013-07-24,51.5,44,12:26,12:38,15.58,15.52,99600,99600,4.23,camion,35.1,camion
p09,2013-07-24,29,16,11:35,11:47,15.50,5.80,99600,99600,4.36,camion,37.0,camion
p10,2013-07-24,29,25.5,11:32,11:42,6.38,6.45,99500,99500,4.79,camion,45.6,camion
p11,2013-07-25,45,23.5,14:42,14:47,22.15,21.52,99500,99500,5.06,camion,40.8,camion
p12,2013-07-25,80,45,14:29,14:42,19.5,19.7,99500,99600,,camion,,camion
p13,2013-07-25,97,63,14:05,14:18,21.1,19.3,99500,99500,,camion,,camion
p14,2013-07-25,80,63,13:52,14:00,22.10,19.10,99600,99600,,camion,,camion
p15,2013-07-25,66.5,51,13:44,13:28,24.0,22.3,99500,99500,4.55,camion,46.7,camion
p16,2013-07-25,95,60,13:15,13:22,21.9,21.9,99600,99600,4.97,camion,,camion
p17,2013-07-25,20,6.5,12:57,12:35,11.5,15.0,99500,99500,4.72,camion,35.9,camion
p18,2013-07-25,78,63,12:44,12:29,3.83,4.90,99600,99600,4.25,camion,38.8,camion
p19,2013-07-25,32,16.5,12:05,11:49,7.33,8.35,99500,99500,4.37,camion,37.8,camion
p20,2013-07-25,29,17.5,12:06,11:49,7.05,20.3,99500,99600,4.61,camion,38.5,camion
