placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-07-24,,80,,,100,15,,
p02,2013-07-24,<5,65,70,,25,5,,
p03,2013-07-24,40,10,85,,,10,,
p04,2013-07-24,,60,80,,20,,,
p05,2013-07-24,5,20,100,,15,,,
p06,2013-07-24,<5,40,,,20,20,,
p07,2013-07-24,,25,100,,60,15,,
p08,2013-07-24,,70,10,,10,20,,
p09,2013-07-24,,30,5,,90,10,,
p10,2013-07-24,,80,,,10,,,
p11,2013-07-25,,40,,,25,,,
p12,2013-07-25,,60,,,100,,,
p13,2013-07-25,,10,,,90,,,
p14,2013-07-25,,60,,,100,<5,,
p15,2013-07-25,,80,,,15,<5,,15
p16,2013-07-25,,5,,,90,20,,
p17,2013-07-25,,60,40,,40,,,
p18,2013-07-25,,5,80,,100,,,
p19,2013-07-25,,15,75,,50,,,
p20,2013-07-25,,15,,,100,5,,
