placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-07-24,44.99,46.31,97.80,80.34,96.45
p02,2013-07-24,28.05,31.17,42.01,43.45,29.48
p03,2013-07-24,21.33,22.87,15.71,21.15,19.53
p04,2013-07-24,62.76,100,38.94,47.11,63.38
p05,2013-07-24,54.63,57.74,62.37,34.59,38.24
p06,2013-07-24,66.35,49.64,51.45,59.21,51.72
p07,2013-07-24,38.45,32.78,77.37,47.49,54.72
p08,2013-07-24,58.17,47.71,78.14,100,44.53
p09,2013-07-24,37.73,34.97,54.46,38.27,42.02
p10,2013-07-24,100,100,100,100,88.28
p11,2013-07-25,34.82,25.62,15.02,12.51,30.49
p12,2013-07-25,39.61,43.70,38.30,58.29,44.00
p13,2013-07-25,27.34,32.42,16.78,18.58,35.09
p14,2013-07-25,40.05,40.98,48.63,44.86,37.98
p15,2013-07-25,49.22,39.03,39.33,27.26,80.80
p16,2013-07-25,49.04,34.87,42.86,38.96,81.28
p17,2013-07-25,36.17,69.36,49.08,68.62,38.30
p18,2013-07-25,18.27,35.92,96.29,45.74,55.71
p19,2013-07-25,84.90,54.29,45.50,33.04,35.10
p20,2013-07-25,100,100,100,100,100
