placette,date,Tair,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-07-24,34.1,29.2,25.3,22.3,20.8,20.2,19.7,19.0,17.8,,15.2,,13.7,,12.7
p02,2013-07-24,33.0,25.7,26.0,22.9,21.3,20.5,19.9,19.3,18.3,17.0,16.1,15.2,14.3,13.7,13.1
p03,2013-07-24,33.3,24.6,25.1,22.5,21.0,19.7,19.4,18.9,18.0,16.9,16.0,15.2,14.5,14.0,13.3
p04,2013-07-24,34.0,28.3,24.9,21.7,20.1,19.3,18.5,17.9,16.4,,14.4,14.2,,,
p05,2013-07-24,38.7,30.6,26.0,22.0,20.5,19.8,19.2,18.6,17.1,,14.7,,13.0,,12.1
p06,2013-07-24,33.8,30.6,24.4,20.6,19.2,18.6,18.2,17.7,16.5,15.5,14.5,13.5,12.8,12.2,11.5
p07,2013-07-24,32.3,27.2,26.3,20.8,18.9,18.2,17.7,17.0,15.9,,14.4,,13.0,,12.1
p08,2013-07-24,30.7,22.5,14.6,13.2,13.0,13.4,13.5,13.4,13.2,12.8,12.3,12.1,11.9,,
p09,2013-07-24,29.7,27.2,22.7,19.3,18.5,18.1,17.6,17.0,15.8,15.0,,13.5,,,12.1
p10,2013-07-24,28.0,22.5,21.6,18.9,18.5,18.2,17.9,17.3,16.2,14.8,13.7,12.8,12.3,11.9,
p11,2013-07-25,34.5,31.3,23.5,20.8,19.5,18.9,18.4,17.7,16.4,15.3,14.3,13.5,12.9,12.3,11.7
p12,2013-07-25,34.7,28.1,22.9,19.7,19.0,17.6,16.9,16.2,15.8,,,,,,
p13,2013-07-25,34.4,21.8,19.5,17.3,16.2,15.5,15.1,14.7,14.0,,,,,,
p14,2013-07-25,33.1,30.2,22.2,18.9,16.9,16.0,15.3,14.8,,,,,,,
p15,2013-07-25,31.6,21.2,19.9,18.2,17.3,16.8,16.0,15.5,14.4,13.5,,,,,
p16,2013-07-25,31.0,26.0,23.3,20.3,19.0,18.3,17.4,16.7,,,,,,,
p17,2013-07-25,30.9,22.5,23.5,19.9,19.0,18.5,18.0,17.3,16.3,15.2,14.1,,,,
p18,2013-07-25,30.2,24.5,23.3,19.7,17.7,16.8,16.3,15.8,,,,,,,
p19,2013-07-25,30.5,24.4,21.9,20.3,20.0,19.7,19.2,18.0,16.5,15.0,13.8,12.8,12.1,,
p20,2013-07-25,27.6,28.2,23.3,20.7,19.8,19.3,18.9,18.3,17.0,,14.5,,,,
