placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-07-24,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-07-24,Erica,13,18,20,14,21,26,17,16,14,12,,,,,,,,,,
p01,2013-07-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2013-07-24,Calluna,17,12.5,11,14,,,,,,,,,,,,,,,,
p02,2013-07-24,Erica,17,24,12.5,35,33.5,27,20.5,11,17,20.5,,,,,,,,,,
p02,2013-07-24,Sphagnum,15,,,,,,,,,,,,,,,,,,,
p02,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-07-24,Calluna,35,30,16,20,22,16,,,,,,,,,,,,,,
p03,2013-07-24,Erica,25,22,19,10.5,12,3.5,,,,,,,,,,,,,,
p03,2013-07-24,Sphagnum,11.5,,,,,,,,,,,,,,,,,,,
p03,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-07-24,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-07-24,Erica,12,16,15,10,7,18,11,8,7,17,13,,,,,,,,,
p04,2013-07-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p04,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-07-24,Calluna,18,14,,,,,,,,,,,,,,,,,,
p05,2013-07-24,Erica,10,12,12,17,6,,,,,,,,,,,,,,,
p05,2013-07-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p05,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-07-24,Calluna,15,,,,,,,,,,,,,,,,,,,
p06,2013-07-24,Erica,22,24,22,25,4.5,12,6,13,12.5,12.5,,,,,,,,,,
p06,2013-07-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2013-07-24,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2013-07-24,Erica,14,7,25,13,19,16,14,,,,,,,,,,,,,
p07,2013-07-24,Sphagnum,10,,,,,,,,,,,,,,,,,,,
p07,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2013-07-24,Calluna,,,,,,,,,,,,,,,,,,,,
p08,2013-07-24,Erica,34.5,26,27,29,17.5,10,7,15,22,20,,,,,,,,,,
p08,2013-07-24,Sphagnum,2,,,,,,,,,,,,,,,,,,,
p08,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p08,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p09,2013-07-24,Calluna,,,,,,,,,,,,,,,,,,,,
p09,2013-07-24,Erica,11,14,21,20,,,,,,,,,,,,,,,,
p09,2013-07-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p09,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p09,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p09,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p09,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p09,2013-07-24,Mousse,12.7,,,,,,,,,,,,,,,,,,,
p10,2013-07-24,Calluna,,,,,,,,,,,,,,,,,,,,
p10,2013-07-24,Erica,14,16,30,31,11,11.5,11.5,6,18,12,,,,,,,,,,
p10,2013-07-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p10,2013-07-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p10,2013-07-24,Molinia,,,,,,,,,,,,,,,,,,,,
p10,2013-07-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p10,2013-07-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p10,2013-07-24,Mousse,,,,,,,,,,,,,,,,,,,,
p11,2013-07-25,Calluna,,,,,,,,,,,,,,,,,,,,
p11,2013-07-25,Erica,19,20,15,9.5,10,7.5,11,7,15,30,,,,,,,,,,
p11,2013-07-25,Sphagnum,,,,,,,,,,,,,,,,,,,,
