IDech,typeVeg,rep,height,embase,cal_val,localisation
14,erica,h10,23,NA,cal,lab
14,erica,h11,22,NA,cal,lab
14,erica,h12,15,NA,cal,lab
15,erica,h1,12,NA,cal,lab
15,erica,h2,12,NA,cal,lab
15,erica,h3,11,5,NA,cal,lab
15,erica,h4,18,NA,cal,lab
15,erica,h5,13,NA,cal,lab
15,erica,h6,14,NA,cal,lab
15,erica,h7,17,NA,cal,lab
15,erica,h8,16,NA,cal,lab
15,erica,h9,16,NA,cal,lab
15,erica,h10,19,NA,cal,lab
15,erica,h11,17,NA,cal,lab
15,erica,h12,16,NA,cal,lab
16,erica,h1,24,NA,cal,lab
16,erica,h2,13,NA,cal,lab
16,erica,h3,18,NA,cal,lab
16,erica,h4,14,NA,cal,lab
16,erica,h5,11,NA,cal,lab
16,erica,h6,23,NA,cal,lab
16,erica,h7,14,NA,cal,lab
16,erica,h8,23,NA,cal,lab
16,erica,h9,19,NA,cal,lab
16,erica,h10,21,NA,cal,lab
16,erica,h11,18,NA,cal,lab
16,erica,h12,16,NA,cal,lab
17,erica,h1,22,NA,cal,lab
17,erica,h2,18,NA,cal,lab
17,erica,h3,16,NA,cal,lab
17,erica,h4,24,NA,cal,lab
17,erica,h5,26,NA,cal,lab
17,erica,h6,19,NA,cal,lab
17,erica,h7,21,NA,cal,lab
17,erica,h8,25,NA,cal,lab
17,erica,h9,12,NA,cal,lab
17,erica,h10,17,NA,cal,lab
17,erica,h11,16,NA,cal,lab
17,erica,h12,21,NA,cal,lab
18,erica,h1,34,NA,cal,lab
18,erica,h2,29,NA,cal,lab
18,erica,h3,27,NA,cal,lab
18,erica,h4,25,NA,cal,lab
18,erica,h5,30,NA,cal,lab
18,erica,h6,30,NA,cal,lab
18,erica,h7,26,NA,cal,lab
18,erica,h8,29,NA,cal,lab
18,erica,h9,28,NA,cal,lab
18,erica,h10,37,NA,cal,lab
18,erica,h11,28,NA,cal,lab
18,erica,h12,19,NA,cal,lab
19,erica,h1,49,NA,cal,lab
19,erica,h2,34,NA,cal,lab
19,erica,h3,37,NA,cal,lab
19,erica,h4,27,NA,cal,lab
19,erica,h5,42,NA,cal,lab
19,erica,h6,27,NA,cal,lab
19,erica,h7,28,NA,cal,lab
19,erica,h8,31,NA,cal,lab
19,erica,h9,33,NA,cal,lab
19,erica,h10,42,NA,cal,lab
19,erica,h11,35,NA,cal,lab
19,erica,h12,39,NA,cal,lab
20,erica,h1,32,NA,cal,lab
20,erica,h2,37,NA,cal,lab
20,erica,h3,37,NA,cal,lab
20,erica,h4,27,NA,cal,lab
20,erica,h5,36,NA,cal,lab
20,erica,h6,36,NA,cal,lab
20,erica,h7,32,NA,cal,lab
20,erica,h8,17,NA,cal,lab
20,erica,h9,38,NA,cal,lab
20,erica,h10,21,NA,cal,lab
20,erica,h11,31,NA,cal,lab
20,erica,h12,33,NA,cal,lab
21,erica,h1,32,NA,cal,lab
21,erica,h2,28,NA,cal,lab
21,erica,h3,27,NA,cal,lab
21,erica,h4,21,NA,cal,lab
21,erica,h5,32,NA,cal,lab
21,erica,h6,17,NA,cal,lab
21,erica,h7,24,NA,cal,lab
21,erica,h8,11,NA,cal,lab
21,erica,h9,14,NA,cal,lab
21,erica,h10,13,NA,cal,lab
21,erica,h11,9,NA,cal,lab
21,erica,h12,16,NA,cal,lab
22,erica,h1,26,NA,cal,lab
22,erica,h2,31,NA,cal,lab
22,erica,h3,43,NA,cal,lab
22,erica,h4,32,NA,cal,lab
22,erica,h5,35,NA,cal,lab
22,erica,h6,35,NA,cal,lab
22,erica,h7,33,NA,cal,lab
22,erica,h8,32,NA,cal,lab
22,erica,h9,28,NA,cal,lab
22,erica,h10,41,NA,cal,lab
22,erica,h11,30,NA,cal,lab
22,erica,h12,34,NA,cal,lab
23,erica,h1,29,NA,cal,lab
23,erica,h2,19,NA,cal,lab
23,erica,h3,28,NA,cal,lab
23,erica,h4,21,NA,cal,lab
23,erica,h5,29,NA,cal,lab
23,erica,h6,24,NA,cal,lab
23,erica,h7,36,NA,cal,lab
23,erica,h8,25,NA,cal,lab
23,erica,h9,27,NA,cal,lab
23,erica,h10,27,NA,cal,lab
23,erica,h11,31,NA,cal,lab
23,erica,h12,27,NA,cal,lab
24,erica,h1,20,NA,cal,lab
24,erica,h2,13,NA,cal,lab
24,erica,h3,24,NA,cal,lab
24,erica,h4,13,NA,cal,lab
24,erica,h5,15,NA,cal,lab
24,erica,h6,19,NA,cal,lab
24,erica,h7,25,NA,cal,lab
24,erica,h8,22,NA,cal,lab
24,erica,h9,12,NA,cal,lab
24,erica,h10,22,NA,cal,lab
24,erica,h11,21,NA,cal,lab
24,erica,h12,32,NA,cal,lab
25,erica,h1,37,NA,cal,lab
25,erica,h2,38,NA,cal,lab
25,erica,h3,22,NA,cal,lab
25,erica,h4,36,NA,cal,lab
25,erica,h5,46,NA,cal,lab
25,erica,h6,33,NA,cal,lab
25,erica,h7,37,NA,cal,lab
25,erica,h8,36,NA,cal,lab
25,erica,h9,39,NA,cal,lab
25,erica,h10,41,NA,cal,lab
25,erica,h11,38,NA,cal,lab
25,erica,h12,40,NA,cal,lab
26,erica,h1,20,NA,cal,lab
26,erica,h2,26,NA,cal,lab
26,erica,h3,23,NA,cal,lab
26,erica,h4,25,NA,cal,lab
26,erica,h5,28,NA,cal,lab
26,erica,h6,16,NA,cal,lab
26,erica,h7,30,NA,cal,lab
26,erica,h8,28,NA,cal,lab
26,erica,h9,31,NA,cal,lab
26,erica,h10,32,NA,cal,lab
26,erica,h11,13,NA,cal,lab
26,erica,h12,27,NA,cal,lab
27,erica,h1,60,NA,cal,lab
27,erica,h2,36,NA,cal,lab
27,erica,h3,32,NA,cal,lab
27,erica,h4,40,NA,cal,lab
27,erica,h5,43,NA,cal,lab
27,erica,h6,35,NA,cal,lab
27,erica,h7,27,NA,cal,lab
27,erica,h8,37,NA,cal,lab
27,erica,h9,30,NA,cal,lab
27,erica,h10,38,NA,cal,lab
27,erica,h11,51,NA,cal,lab
27,erica,h12,39,NA,cal,lab
28,erica,h1,57,NA,cal,lab
28,erica,h2,49,NA,cal,lab
28,erica,h3,71,NA,cal,lab
28,erica,h4,70,NA,cal,lab
28,erica,h5,52,NA,cal,lab
28,erica,h6,47,NA,cal,lab
28,erica,h7,56,NA,cal,lab
28,erica,h8,54,NA,cal,lab
28,erica,h9,38,NA,cal,lab
28,erica,h10,64,NA,cal,lab
28,erica,h11,56,NA,cal,lab
28,erica,h12,72,NA,cal,lab
29,erica,h1,49,NA,cal,lab
29,erica,h2,41,NA,cal,lab
29,erica,h3,32,NA,cal,lab
29,erica,h4,39,NA,cal,lab
29,erica,h5,42,NA,cal,lab
29,erica,h6,35,NA,cal,lab
29,erica,h7,41,NA,cal,lab
29,erica,h8,35,NA,cal,lab
29,erica,h9,40,NA,cal,lab
29,erica,h10,44,NA,cal,lab
29,erica,h11,45,NA,cal,lab
29,erica,h12,41,NA,cal,lab
30,erica,h1,42,NA,cal,lab
30,erica,h2,37,NA,cal,lab
30,erica,h3,45,NA,cal,lab
30,erica,h4,46,NA,cal,lab
30,erica,h5,32,NA,cal,lab
30,erica,h6,47,NA,cal,lab
30,erica,h7,41,NA,cal,lab
30,erica,h8,38,NA,cal,lab
30,erica,h9,43,NA,cal,lab
30,erica,h10,46,NA,cal,lab
30,erica,h11,39,NA,cal,lab
30,erica,h12,40,NA,cal,lab
31,erica,h1,30,NA,cal,lab
31,erica,h2,35,NA,cal,lab
31,erica,h3,43,NA,cal,lab
31,erica,h4,30,NA,cal,lab
31,erica,h5,36,NA,cal,lab
31,erica,h6,34,NA,cal,lab
31,erica,h7,42,NA,cal,lab
31,erica,h8,41,NA,cal,lab
31,erica,h9,34,NA,cal,lab
31,erica,h10,35,NA,cal,lab
31,erica,h11,37,NA,cal,lab
31,erica,h12,35,NA,cal,lab
32,erica,h1,12,NA,cal,lab
32,erica,h2,17,NA,cal,lab
32,erica,h3,26,NA,cal,lab
32,erica,h4,26,NA,cal,lab
32,erica,h5,24,NA,cal,lab
32,erica,h6,27,NA,cal,lab
32,erica,h7,22,NA,cal,lab
32,erica,h8,15,NA,cal,lab
32,erica,h9,23,NA,cal,lab
32,erica,h10,22,NA,cal,lab
32,erica,h11,16,NA,cal,lab
32,erica,h12,22,NA,cal,lab
33,caluna,h1,58,NA,cal,lab
33,caluna,h2,36,NA,cal,lab
33,caluna,h3,63,NA,cal,lab
33,caluna,h4,42,NA,cal,lab
33,caluna,h5,39,NA,cal,lab
33,caluna,h6,49,NA,cal,lab
33,caluna,h7,29,NA,cal,lab
33,caluna,h8,27,NA,cal,lab
33,caluna,h9,36,NA,cal,lab
33,caluna,h10,56,NA,cal,lab
33,caluna,h11,51,NA,cal,lab
33,caluna,h12,31,NA,cal,lab
34,caluna,h1,47,NA,cal,lab
34,caluna,h2,67,NA,cal,lab
34,caluna,h3,72,NA,cal,lab
34,caluna,h4,75,NA,cal,lab
34,caluna,h5,76,NA,cal,lab
34,caluna,h6,51,NA,cal,lab
34,caluna,h7,52,NA,cal,lab
34,caluna,h8,79,NA,cal,lab
34,caluna,h9,73,NA,cal,lab
34,caluna,h10,71,NA,cal,lab
34,caluna,h11,74,NA,cal,lab
34,caluna,h12,69,NA,cal,lab
35,caluna,h1,60,NA,cal,lab
35,caluna,h2,74,NA,cal,lab
35,caluna,h3,,NA,cal,lab
35,caluna,h4,NA,NA,cal,lab
35,caluna,h5,NA,NA,cal,lab
35,caluna,h6,NA,NA,cal,lab
35,caluna,h7,NA,NA,cal,lab
35,caluna,h8,NA,NA,cal,lab
35,caluna,h9,NA,NA,cal,lab
35,caluna,h10,NA,NA,cal,lab
35,caluna,h11,NA,NA,cal,lab
35,caluna,h12,NA,NA,cal,lab
36,caluna,h1,63,NA,cal,lab
36,caluna,h2,65,NA,cal,lab
36,caluna,h3,66,NA,cal,lab
36,caluna,h4,48,NA,cal,lab
36,caluna,h5,51,NA,cal,lab
36,caluna,h6,67,NA,cal,lab
36,caluna,h7,62,NA,cal,lab
36,caluna,h8,74,NA,cal,lab
36,caluna,h9,65,NA,cal,lab
36,caluna,h10,NA,NA,cal,lab
36,caluna,h11,NA,NA,cal,lab
36,caluna,h12,NA,NA,cal,lab
37,caluna,h1,53,NA,cal,lab
37,caluna,h2,45,NA,cal,lab
37,caluna,h3,45,NA,cal,lab
37,caluna,h4,40,NA,cal,lab
37,caluna,h5,53,NA,cal,lab
37,caluna,h6,NA,NA,cal,lab
37,caluna,h7,NA,NA,cal,lab
37,caluna,h8,NA,NA,cal,lab
37,caluna,h9,NA,NA,cal,lab
37,caluna,h10,NA,NA,cal,lab
37,caluna,h11,NA,NA,cal,lab
37,caluna,h12,NA,NA,cal,lab
38,caluna,h1,86,NA,cal,lab
38,caluna,h2,NA,NA,cal,lab
38,caluna,h3,,NA,cal,lab
38,caluna,h4,NA,NA,cal,lab
