placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-08-29,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-08-29,Erica,26,20,18,15.5,17,17,13,9,18.5,14.5,,,,,,,,,,
p01,2013-08-29,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-08-29,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-08-29,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-08-29,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-08-29,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-08-29,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2013-08-29,Calluna,11.5,9.5,23,13,15,17.5,,,,,,,,,,,,,,
p02,2013-08-29,Erica,18.5,29,24,23.5,30,34,32,14.5,13,12,21,13,,,,,,,,
p02,2013-08-29,Sphagnum,15,,,,,,,,,,,,,,,,,,,
p02,2013-08-29,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-08-29,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-08-29,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-08-29,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-08-29,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-08-29,Calluna,37,29.5,20,20,20,21.5,27,11,5,12,,,,,,,,,,
p03,2013-08-29,Erica,23.5,22,17,7,7.5,19,17.5,10.5,7,14,,,,,,,,,,
p03,2013-08-29,Sphagnum,12.5,,,,,,,,,,,,,,,,,,,
p03,2013-08-29,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-08-29,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-08-29,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-08-29,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-08-29,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-08-29,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-08-29,Erica,23,15.5,16,12,14,5.5,9.5,11,24.5,18,18,,,,,,,,,
p04,2013-08-29,Sphagnum,52.5,,,,,,,,,,,,,,,,,,,
p04,2013-08-29,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2013-08-29,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-08-29,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-08-29,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-08-29,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-08-29,Calluna,,,,,,,,,,,,,,,,,,,,
p05,2013-08-29,Erica,15.5,8,6.5,7,4.5,6.5,14.5,,,,,,,,,,,,,
p05,2013-08-29,Sphagnum,23.5,,,,,,,,,,,,,,,,,,,
p05,2013-08-29,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2013-08-29,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2013-08-29,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-08-29,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-08-29,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-08-29,Calluna,18,16,13.5,22,7.5,16,10.5,13,18,16,11.5,,,,,,,,,
p06,2013-08-29,Erica,7,17.5,8.5,,,,,,,,,,,,,,,,,
p06,2013-08-29,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2013-08-29,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2013-08-29,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-08-29,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2013-08-29,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2013-08-29,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2013-08-30,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2013-08-30,Erica,18,23,10,25,16,9,6,8,4,27,,,,,,,,,,
p07,2013-08-30,Sphagnum,6,,,,,,,,,,,,,,,,,,,
p07,2013-08-30,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,2013-08-30,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2013-08-30,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2013-08-30,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2013-08-30,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2013-08-30,Calluna,,,,,,,,,,,,,,,,,,,,
p08,2013-08-30,Erica,21,30,13,22,15,5.5,19,11,25,12,,,,,,,,,,
p08,2013-08-30,Sphagnum,2,,,,,,,,,,,,,,,,,,,
p08,2013-08-30,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,2013-08-30,Molinia,,,,,,,,,,,,,,,,,,,,
p08,2013-08-30,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,2013-08-30,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,2013-08-30,Mousse,,,,,,,,,,,,,,,,,,,,
p09,2013-08-30,Calluna,,,,,,,,,,,,,,,,,,,,
p09,2013-08-30,Erica,12,23,21,18,9,5,10,17,14,12,,,,,,,,,,
p09,2013-08-30,Sphagnum,14,,,,,,,,,,,,,,,,,,,
p09,2013-08-30,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p09,2013-08-30,Molinia,,,,,,,,,,,,,,,,,,,,
p09,2013-08-30,Eriophorum,,,,,,,,,,,,,,,,,,,,
p09,2013-08-30,Polytrick,,,,,,,,,,,,,,,,,,,,
p09,2013-08-30,Mousse,,,,,,,,,,,,,,,,,,,,
p10,2013-08-30,Calluna,,,,,,,,,,,,,,,,,,,,
p10,2013-08-30,Erica,17,26,15,10,9,12,23,13,6,5,,,,,,,,,,
p10,2013-08-30,Sphagnum,,,,,,,,,,,,,,,,,,,,
p10,2013-08-30,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p10,2013-08-30,Molinia,,,,,,,,,,,,,,,,,,,,
p10,2013-08-30,Eriophorum,,,,,,,,,,,,,,,,,,,,
p10,2013-08-30,Polytrick,,,,,,,,,,,,,,,,,,,,
p10,2013-08-30,Mousse,,,,,,,,,,,,,,,,,,,,
p11,2013-08-30,Calluna,,,,,,,,,,,,,,,,,,,,
p11,2013-08-30,Erica,21,19,22.5,11.5,12.5,11.5,9.5,18,14.5,13.5,,,,,,,,,,
p11,2013-08-30,Sphagnum,,,,,,,,,,,,,,,,,,,,
p11,2013-08-30,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p11,2013-08-30,Molinia,,,,,,,,,,,,,,,,,,,,
p11,2013-08-30,Eriophorum,,,,,,,,,,,,,,,,,,,,
p11,2013-08-30,Polytrick,,,,,,,,,,,,,,,,,,,,
p11,2013-08-30,Mousse,,,,,,,,,,,,,,,,,,,,
p12,2013-08-30,Calluna,,,,,,,,,,,,,,,,,,,,
p12,2013-08-30,Erica,47,23,35,22,25,31,,,,,,,,,,,,,,
