placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-08-29,,40,,,50,10,,
p02,2013-08-29,10,70,50,,10,<5,,
p03,2013-08-29,40,15,55,,,10,,
p04,2013-08-29,,70,70,,5,,,
p05,2013-08-29,<5,5,100,,15,,,
p06,2013-08-29,<5,40,,,35,15,,
p07,2013-08-30,,10,70,,10,<5,,
p08,2013-08-30,,60,20,,<5,15,,
p09,2013-08-30,,20,15,,65,,,
p10,2013-08-30,,80,,,20,,,
p11,2013-08-30,,60,,,30,<5,,
p12,2013-08-30,,<5,,,95,,,
p13,2013-08-30,,5,,,80,,,
p14,2013-08-30,,10,,,80,5,,
p15,2013-08-29,,75,,,85,,,
p16,2013-08-29,,30,,,90,15,,
p17,2013-08-29,,50,50,,60,5,,
p18,2013-08-29,,,95,,100,,,
p19,2013-08-29,,50,60,,60,,,
p20,2013-08-29,,20,,,95,5,,
