placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-08-29,36.54,49.25,34.87,34.63,31.90
p02,2013-08-29,20.22,41.55,45.20,38.99,25.03
p03,2013-08-29,,,,,
p04,2013-08-29,45.41,41.19,43.08,72.50,40.40
p05,2013-08-29,30.75,34.74,33.73,42.17,39.79
p06,2013-08-29,40.6,47.42,44.72,35.16,35.57
p07,2013-08-30,37.49,69.81,30.83,38.40,45.19
p08,2013-08-30,48.15,80.85,85.38,46.77,42.17
p09,2013-08-30,37.72,41.67,30.94,24.46,36.64
p10,2013-08-30,100,100,59.41,100,100
p11,2013-08-30,36.87,27.13,28.56,34.78,29.77
p12,2013-08-30,39.11,34.21,36.38,39.96,44.29
p13,2013-08-30,28.60,27.49,26.12,17.45,19.23
p14,2013-08-30,37.08,34.85,32.02,31.48,34.19
p15,2013-08-29,49.70,34.54,67.74,78.39,55.67
p16,2013-08-29,38.34,35.11,34.42,41.72,39.02
p17,2013-08-29,75.05,41.88,30.79,44.67,38.67
p18,2013-08-29,26.82,25.64,28.80,5.61,26.14
p19,2013-08-29,41.65,36.03,43.28,39.42,45.99
p20,2013-08-29,59.75,74.99,42.91,41.42,39.41
