placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-08-29,29,24,10:48,10:58,9.41,10.54,100100,100100,4.47,camion,48.4,camion
p02,2013-08-29,19.5,10.5,11:23,11:32,13.22,14.2,100100,100100,4.49,camion,49.8,camion
p03,2013-08-29,34,12.5,11:53,12:02,14.68,14.3,100100,100100,4.88,camion,71.2,camion
p04,2013-08-29,36,29,12:25,12:33,15.58,5.28,100100,100100,4.87,camion,45.5,camion
p05,2013-08-29,25,13,12:56,13:06,5.72,5.41,100100,100100,4.87,camion,34.8,camion
p06,2013-08-29,8.5,-7,13:52,13:36,17.35,17.88,100100,100100,5.12,camion,32.3,camion
p07,2013-08-30,24,5,16:34,16:45,5.75,3.94,100100,100100,5.15,camion,118.6,camion
p08,2013-08-30,50,44,15:04,15:14,5.80,4.61,100200,100200,4.5,camion,35.2,camion
p09,2013-08-30,58,14,15:40,15:51,8.84,9.90,100100,100100,4.57,camion,41,camion
p10,2013-08-30,28.5,25,14:29,14:41,17.11,17.65,100100,100100,5.38,camion,47.2,camion
p11,2013-08-30,41.5,24,14:19,14:28,18.83,17.22,100000,100000,4.83,camion,42.3,camion
p12,2013-08-30,78.5,38.5,15:02,15:11,3.64,2.95,100100,100100,,camion,,camion
p13,2013-08-30,96,63,15:39,15:49,15.75,17.31,100000,100000,,camion,,camion
p14,2013-08-30,79.5,61,16:21,16:13,15.31,15.86,100000,100000,,camion,,camion
p15,2013-08-29,69,50,14:52,14:59,16.70,16.50,100100,100100,4.66,camion,43.3,camion
p16,2013-08-29,94.5,62,13:52,14:01,15.75,,100100,100100,,camion,,camion
p17,2013-08-29,25,8,13:00,13:23,18.15,,100100,100100,4.65,camion,42.4,camion
p18,2013-08-29,93.5,62,12:22,12:34,2.70,1.95,100100,100100,,camion,,camion
p19,2013-08-29,41,14,11:07,11:13,11.6,12.25,100100,100100,4.61,camion,39.3,camion
p20,2013-08-29,32,17,11:44,11:51,,14.60,100100,100100,4.90,camion,37.5,camion
