placette,date,Tair,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-08-29,16.8,19.1,16.4,15.2,15.6,16.3,16.4,16.5,16.3,15.8,15.3,14.7,14.2,13.8,13.4
p02,2013-08-29,25.8,22.8,18.5,16.8,17.3,17.7,17.8,17.7,17.3,16.9,16.3,15.8,15.4,14.8,14.4
p03,2013-08-29,31.2,22.4,19.0,17.0,17.1,17.6,17.7,17.6,17.0,16.5,16.0,15.4,15.1,14.6,14.2
p04,2013-08-29,29.1,19.7,16.9,15.1,15.3,15.7,15.7,15.6,15.2,15.6,14.3,14.2,,,
p05,2013-08-29,29.1,21.9,17.9,15.9,16.1,16.1,16.0,15.9,15.4,14.9,14.4,13.8,13.3,12.9,12.7
p06,2013-08-29,29.8,28.7,25.7,16.8,15.8,15.8,15.9,15.8,15.4,14.8,14.4,13.9,13.3,12.8,12.3
p07,2013-08-30,30.2,24.8,18.2,16.0,14.2,14.9,15,15,14.4,14.2,13.8,13.4,13.0,12.7,12.5
p08,2013-08-30,35.1,19.5,14.4,13.2,13.0,13.3,13.5,13.4,13.2,12.9,12.7,12.4,12.4,12.2,
p09,2013-08-30,32.0,25.9,19.5,16.4,15.9,15.9,15.8,15.8,15.4,15.1,14.8,14.4,14.0,13.7,13.2
p10,2013-08-30,31.4,24.4,15.6,14.4,14.8,15.0,14.8,14.4,13.9,13.3,12.8,12.6,,,
p11,2013-08-30,23.2,28.9,27.7,18.9,15.0,14.6,14.4,14.5,14.5,14.2,13.9,13.5,13.2,12.8,12.5
p12,2013-08-30,31.8,23.9,19.9,16.3,14.9,14.6,14.4,14.3,14.2,,,,,,
p13,2013-08-30,30.1,24.5,21.2,16.8,14.0,13.2,13.0,13.0,13.2,,,,,,
p14,2013-08-30,31.2,30.7,26.8,19.3,14.7,13.2,12.9,12.9,12.9,,,,,,
p15,2013-08-29,29.5,29.2,18.9,15.8,14.4,14.2,14.2,14.0,13.6,13.3,,,,,
p16,2013-08-29,28.4,27.2,18.5,15.3,14.4,14.3,14.4,14.4,,,,,,,
p17,2013-08-29,24.0,23.9,20.1,16.9,16.2,16.3,16.4,16.4,16.0,,14.8,,,,
p18,2013-08-29,29.6,21.8,20.4,16.9,14.4,14.1,14.2,14.2,,,,,,,
p19,2013-08-29,18.6,22.5,15.9,15.3,15.7,15.9,15.8,15.5,15.0,,13.9,,13.0,,
p20,2013-08-29,24.0,23.9,17.1,14.3,14.6,14.6,14.7,14.7,14.4,13.9,,,,,
