placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-03-06,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-03-06,Erica,2.00,4.00,5.00,7.00,4.00,1.00,3.00,2.50,,,,,,,,,,,,
p01,2013-03-06,Sphagnum,0.20,,,,,,,,,,,,,,,,,,,
p01,2013-03-06,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-03-06,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-03-06,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-03-06,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-03-06,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2013-03-06,Calluna,12.00,,,,,,,,,,,,,,,,,,,
p02,2013-03-06,Erica,2.00,5.00,20.00,8.00,,,,,,,,,,,,,,,,
p02,2013-03-06,Sphagnum,15.30,,,,,,,,,,,,,,,,,,,
p02,2013-03-06,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-03-06,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-03-06,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-03-06,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-03-06,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-03-06,Calluna,11.00,10.00,8.00,11.00,14.00,25.00,,,,,,,,,,,,,,
p03,2013-03-06,Erica,0.20,5.00,7.00,5.50,7.00,4.00,9.00,7.00,,,,,,,,,,,,
p03,2013-03-06,Sphagnum,12.00,,,,,,,,,,,,,,,,,,,
p03,2013-03-06,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-03-06,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-03-06,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-03-06,Polytrick,,,,,,,,,,,,,,,,,,,,
