placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-03-06,30.00,28.00,10:34,10:57,1.73,1.27,97800,97800,5.45,labo,46.50,labo
p02,2013-03-06,17.00,15.00,10:34,10:53,2.05,NA,97800,97800,4.49,labo,45.50,labo
p03,2013-03-06,28.50,13.00,11:30,11:50,4.70,5.40,97800,97800,4.75,labo,29.90,labo
p04,2013-03-06,34.00,24.00,11:31,11:52,3.67,3.31,97800,97800,5.32,labo,33.90,labo
p05,2013-03-06,23.00,15.00,12:35,12:53,4.18,5.52,97800,97800,4.75,labo,34.80,labo
p06,2013-03-06,6.00,0.00,12:35,12:55,5.46,6.30,97800,97800,5.18,labo,41.60,labo
p07,2013-03-06,14.00,10.50,13:41,14:00,4.28,6.03,97800,97800,4.91,labo,60.60,labo
p08,2013-03-06,NA,NA,14:02,14:21,3.43,4.02,97800,97800,NA,labo,NA,
p09,2013-03-06,77.50,77.00,15:20,15:44,2.82,1.84,97800,97800,NA,labo,NA,
p10,2013-03-05,33.50,29.00,11:45,12:11,NA,NA,98400,98100,4.82,labo,55.80,labo
p11,2013-03-05,37.00,21.00,11:57,12:24,5.50,3.04,98400,98300,4.67,labo,62.10,labo
p12,2013-03-05,49.00,45.00,13:45,14:05,2.93,2.10,98200,98200,4.75,labo,55.20,labo
p13,2013-03-05,72.50,65.00,14:13,14:30,2.59,2.56,98000,98000,4.66,labo,44.50,labo
p14,2013-03-05,67.00,63.00,15:15,15:36,2.59,2.92,98000,98000,4.75,labo,39.50,labo
p15,2013-03-05,57.00,55.00,15:28,15:42,2.92,2.31,98100,98000,4.44,labo,54.00,labo
p16,2013-03-05,69.00,60.00,16:34,17:01,1.89,2.09,98000,98000,5.26,labo,61.30,labo
p17,2013-03-05,12.00,12.00,16:54,17:16,3.58,0.99,98000,98000,5.14,labo,71.80,labo
p18,2013-03-05,68.50,63.00,17:49,18:07,0.25,0.17,98000,98000,4.17,labo,51.20,labo
p19,2013-03-05,22.00,14.50,18:08,18:36,0.26,0.11,98000,98000,3.84,labo,96.20,labo
p20,2013-03-06,18.50,15.00,16:06,16:40,1.73,1.19,97700,97700,4.10,labo,NA,
