placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-03-06,0,5,50,0,0,0,0,0
p02,2013-03-06,<5,5,95,0,0,0,0,0
p03,2013-03-06,20,20,100,0,0,0,0,0
p04,2013-03-06,0,15,60,0,0,0,0,0
p05,2013-03-06,1,5,100,0,0,0,0,0
p06,2013-03-06,0,5,0,0,0,0,0,0
p07,2013-03-06,0,5,100,0,0,0,0,0
p08,2013-03-06,0,20,40,0,0,0,0,0
p09,2013-03-06,0,15,0,0,0,0,0,15
p10,2013-03-05,0,10,0,0,0,0,0,0
p11,2013-03-05,0,5,0,0,0,1,1,0
p12,2013-03-05,0,5,0,0,0,0,0,0
p13,2013-03-05,0,1,0,0,0,0,0,0
p14,2013-03-05,0,1,0,0,0,5,5,5
p15,2013-03-05,0,10,0,0,0,0,0,25
p16,2013-03-05,0,15,0,0,0,20,0,0
p17,2013-03-05,0,5,25,0,0,0,0,0
p18,2013-03-05,0,0,50,9999,0,0,1,0
p19,2013-03-05,0,1,70,0,0,0,0,0
p20,2013-03-06,0,1,0,0,0,0,0,0
