placette,date,Tair,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-03-06,12.7,7.9,6.8,5.3,4.7,4.5,NA,4.5,4.8,NA,5.7,NA,6.5,NA,7.3
p02,2013-03-06,,15,9.4,6.5,6,5.5,NA,5,4.7,4.9,5.3,NA,6.3,NA,7.3
p03,2013-03-06,,13,11.9,9.4,7.4,5.6,NA,5.2,5.2,5.5,5.7,NA,6.6,NA,7.5
p04,2013-03-06,12,9.7,7.3,6.2,5.8,5.5,NA,5.4,5.6,NA,6.3,6.6,NA,NA,NA
p05,2013-03-06,14.2,9.5,7.8,6.4,6,5.7,NA,5.6,5.8,NA,6.8,NA,7.7,NA,8.3
p06,2013-03-06,,16.2,11.1,6.3,4.9,4.3,NA,4.1,4.4,4.8,5.4,NA,6.7,NA,8
p07,2013-03-06,18,9.9,8,6.3,5.5,5.1,NA,4.9,5.1,NA,5.7,NA,6.3,NA,6.9
p08,2013-03-06,,15.8,13.3,9.8,8.6,8,NA,7.8,7.8,7.9,8.2,NA,8.8,NA,9.1
p09,2013-03-06,,17,9.1,7.1,6.2,5.9,NA,5.7,5.8,6.2,6.7,NA,7.5,NA,8.4
p10,2013-03-05,,15,7.8,4.6,4,4,NA,4.3,4.8,5.3,5.9,6.4,6.8,NA,NA
p11,2013-03-05,15.7,7,6.2,4.8,4.5,4.6,NA,4.9,5.3,NA,6.2,NA,7.2,NA,8.2
p12,2013-03-05,13.1,9.1,6.2,5.7,5.5,5.2,NA,5.4,NA,NA,NA,NA,NA,NA,NA
p13,2013-03-05,,9.4,6.5,5,5.1,4.7,4.8,4.9,NA,NA,NA,NA,NA,NA,NA
p14,2013-03-05,,13,6.3,4.6,3.8,3.6,3.7,3.7,4,NA,NA,NA,NA,NA,NA
p15,2013-03-05,12.9,8.7,7.2,6.5,5.9,5.4,NA,5.6,5.9,NA,NA,NA,NA,NA,NA
p16,2013-03-05,,14.5,8.4,5.4,4.7,4.4,4.3,4.4,NA,NA,NA,NA,NA,NA,NA
p17,2013-03-05,12.9,8.2,6.4,4.8,4,3.8,NA,4,4.5,NA,5.5,NA,6.3,NA,6.3
p18,2013-03-05,,10.1,7.6,5.9,5.4,4.9,4.7,4.8,5,NA,NA,NA,NA,NA,NA
p19,2013-03-05,11.6,5.9,5.3,4.9,4.6,4.5,NA,4.9,5.3,NA,6.5,NA,7.4,NA,NA
p20,2013-03-06,15.2,9.5,8,6.2,5.2,4.8,NA,4.7,5.1,5.3,NA,NA,NA,NA,NA
