placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-03-06,,,,,
p02,2013-03-06,100.00,100.00,100.00,100.00,100.00
p03,2013-03-06,31.20,16.00,30.63,26.84,36.67
p04,2013-03-06,91.80,44.13,89.52,50.28,48.93
p05,2013-03-06,83.06,42.28,37.77,82.79,90.34
p06,2013-03-06,100.00,68.98,77.75,47.54,79.94
p07,2013-03-06,100.00,100.00,100.00,100.00,100.00
p08,2013-03-06,71.95,88.19,100.00,100.00,72.60
p09,2013-03-06,100.00,42.09,58.60,100.00,76.91
p10,2013-03-05,62.27,80.77,84.88,60.45,69.22
p11,2013-03-05,45.50,32.63,34.94,66.17,23.10
p12,2013-03-05,67.37,95.55,100.00,100.00,100.00
p13,2013-03-05,45.94,56.90,36.65,38.41,48.34
p14,2013-03-05,100.00,100.00,100.00,100.00,100.00
p15,2013-03-05,75.55,56.54,73.30,73.09,53.71
p16,2013-03-05,100.00,100.00,100.00,100.00,100.00
p17,2013-03-05,64.58,47.59,71.52,62.59,30.09
p18,2013-03-05,100.00,100.00,100.00,100.00,100.00
p19,2013-03-05,75.48,61.97,100.00,70.94,35.53
p20,2013-03-06,93.10,88.55,100.00,100.00,100.00
