placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-05-15,0,70,0,0,30,0,0,0
p02,2013-05-15,5,60,70,0,10,0,0,0
p03,2013-05-15,35,20,95,0,0,10,0,0
p04,2013-05-15,0,80,50,0,0,<5,0,0
p05,2013-05-15,5,5,95,0,15,0,0,0
p06,2013-05-15,<5,50,<5,0,30,5,0,0
p07,2013-05-15,0,10,100,0,10,10,0,0
p08,2013-05-15,0,60,30,0,20,10,0,0
p09,2013-05-15,0,30,0,0,60,0,0,0
p10,2013-05-15,0,100,0,0,5,0,0,0
p11,2013-05-14,0,40,0,0,20,5,0,40
p12,2013-05-14,0,40,0,0,95,0,0,0
p13,2013-05-14,0,10,0,0,80,0,0,0
p14,2013-05-14,0,40,0,0,50,25,0,0
p15,2013-05-14,0,90,0,0,15,0,0,10
p16,2013-05-14,0,15,0,0,80,15,0,0
p17,2013-05-14,0,50,40,0,10,5,0,0
p18,2013-05-14,0,<5,50,0,75,0,5,0
p19,2013-05-14,0,20,95,0,40,0,0,0
p20,2013-05-14,0,5,0,0,80,5,0,0
