placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-05-15,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-05-15,Erica,8.00,12.00,9.00,7.00,4.00,5.00,7.00,8.00,16.00,14.00,16.00,7.00,15.00,22.00,9.00,11.00,8,,,
p01,2013-05-15,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-05-15,Sphg.Rubel,,,,,,,,,,,,,,,,,,,,
p01,2013-05-15,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-05-15,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-05-15,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-05-15,Mousse,6.50,,,,,,,,,,,,,,,,,,,
p02,2013-05-15,Calluna,12.50,13.00,8.50,20.00,20.00,6.00,9.00,,,,,,,,,,,,,
p02,2013-05-15,Erica,18.00,14.50,25.00,9.00,9.00,4.00,20.50,28.00,24.00,11.00,,,,,,,,,,
p02,2013-05-15,Sphagnum,16.00,,,,,,,,,,,,,,,,,,,
p02,2013-05-15,Sphg.Rubel,,,,,,,,,,,,,,,,,,,,
p02,2013-05-15,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-05-15,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-05-15,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-05-15,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-05-15,Calluna,16.50,16.00,25.50,26.50,17.00,8.50,8.50,9.50,13.00,10.00,,,,,,,,,,
p03,2013-05-15,Erica,5.00,8.50,3.50,8.00,7.50,7.50,8.50,4.00,2.00,20.00,,,,,,,,,,
p03,2013-05-15,Sphagnum,14.50,,,,,,,,,,,,,,,,,,,
p03,2013-05-15,Sphg.Rubel,,,,,,,,,,,,,,,,,,,,
p03,2013-05-15,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-05-15,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-05-15,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-05-15,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-05-15,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-05-15,Erica,11.00,22.00,14.00,8.00,6.00,12.00,11.00,14.00,12.00,15.00,9.00,6.00,10.00,6.00,6.00,5.00,5,,,
p04,2013-05-15,Sphagnum,52.00,,,,,,,,,,,,,,,,,,,
p04,2013-05-15,Sphg.Rubel,,,,,,,,,,,,,,,,,,,,
p04,2013-05-15,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-05-15,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-05-15,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-05-15,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-05-15,Calluna,9.00,12.00,12.00,,,,,,,,,,,,,,,,,
p05,2013-05-15,Erica,10.00,10.00,11.00,9.00,,,,,,,,,,,,,,,,
p05,2013-05-15,Sphagnum,18.00,,,,,,,,,,,,,,,,,,,
p05,2013-05-15,Sphg.Rubel,,,,,,,,,,,,,,,,,,,,
p05,2013-05-15,Molinia,15.00,,,,,,,,,,,,,,,,,,,
p05,2013-05-15,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-05-15,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-05-15,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-05-15,Calluna,2.00,17.00,,,,,,,,,,,,,,,,,,
p06,2013-05-15,Erica,6.00,5.00,25.00,20.00,29.00,25.00,18.00,4.00,13.00,5.50,,,,,,,,,,
p06,2013-05-15,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2013-05-15,Sphg.Rubel,,,,,,,,,,,,,,,,,,,,
p06,2013-05-15,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-05-15,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2013-05-15,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2013-05-15,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2013-05-15,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2013-05-15,Erica,8.00,4.00,5.00,12.00,7.00,5.00,4.00,13.00,18.00,11.00,12.00,,,,,,,,,
p07,2013-05-15,Sphagnum,7.50,,,,,,,,,,,,,,,,,,,
p07,2013-05-15,Sphg.Rubel,,,,,,,,,,,,,,,,,,,,
p07,2013-05-15,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2013-05-15,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2013-05-15,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2013-05-15,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2013-05-15,Calluna,,,,,,,,,,,,,,,,,,,,
