placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-06-11,53.80,41.95,54.67,44.45,35.95
p02,2013-06-11,29.78,57.03,28.14,31.41,70.09
p03,2013-06-11,21.94,26.39,30.45,30.98,28.5
p04,2013-06-11,83.47,100.00,100.00,45.76,50.96
p05,2013-06-11,45.94,100.00,100.00,100.00,100.00
p06,2013-06-11,65.99,100.00,100.00,100.00,100.00
p07,2013-06-11,,,,,
p08,2013-06-11,100.00,37.64,39.30,32.90,49.28
p09,2013-06-11,40.60,59.09,45.99,83.78,36.59
p10,2013-06-11,63.24,37.20,89.05,72.50,35.63
p11,2013-06-12,28.64,10.62,42.73,27.94,31.41
p12,2013-06-12,52.02,79.09,54.56,45.25,60.57
p13,2013-06-12,42.28,31.54,41.00,33.41,31.88
p14,2013-06-12,82.93,54.40,81.09,70.20,97.49
p15,2013-06-12,47.71,66.94,70.64,67.16,42.54
p16,2013-06-12,56.85,73.56,63.08,55.30,100.00
p17,2013-06-12,47.41,56.56,96.19,38.48,83.20
p18,2013-06-12,100.00,100.00,100.00,100.00,100.00
p19,2013-06-12,100.00,61.25,81.91,52.98,65.74
p20,2013-06-12,81.28,100.00,100.00,100.00,100.00
