placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-06-11,0,50,0,0,20,5,0,0
p02,2013-06-11,5,50,80,0,15,<5,0,0
p03,2013-06-11,10,30,95,0,0,40,0,0
p04,2013-06-11,0,60,80,0,10,0,0,0
p05,2013-06-11,<5,<5,95,0,10,0,0,0
p06,2013-06-11,20,70,0,0,80,0,0,0
p07,2013-06-11,0,40,100,0,50,15,0,0
p08,2013-06-11,0,50,25,0,0,15,0,0
p09,2013-06-11,0,20,0,0,60,0,0,5
p10,2013-06-11,0,60,0,0,10,0,0,0
p11,2013-06-12,0,20,0,0,25,10,0,0
p12,2013-06-12,0,40,0,0,100,0,0,0
p13,2013-06-12,0,5,0,0,95,0,0,0
p14,2013-06-12,0,30,0,0,80,0,0,0
p15,2013-06-12,0,90,0,0,10,0,0,25
p16,2013-06-12,0,15,0,0,90,20,0,0
p17,2013-06-12,0,30,45,0,10,5,0,0
p18,2013-06-12,0,0,50,0,75,0,0,0
p19,2013-06-12,0,10,90,0,20,0,0,0
p20,2013-06-12,0,10,0,0,75,<5,0,0
