placette,date,Tair,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-06-11,,19.7,17.3,15.7,15.2,14.7,14.4,13.9,13.1,12.3,11.4,10.8,10.4,10.0,9.9
p02,2013-06-11,,19.3,19.4,18.9,18,17.3,17.1,16.8,16.0,14.9,13.8,12.9,12.2,11.7,11.1
p03,2013-06-11,24.9,24.1,22.2,18.8,17.3,16.7,16.4,15.9,14.9,,12.9,,11.7,,10.7
p04,2013-06-11,20.4,21.6,19.5,17.8,16.7,16.1,15.7,15.2,14.0,,11.7,,,,
p05,2013-06-11,,20.5,17.8,15.8,15.4,15.2,15.0,14.6,13.7,12.7,11.9,11.3,10.8,10.5,10.3
p06,2013-06-11,18.9,24.3,19.1,15.8,15.1,14.8,14.5,14.2,13.4,,11.8,,10.6,,9.9
p07,2013-06-11,24.2,17.1,15.7,14.2,13.5,13.2,12.7,12.3,11.5,10.7,,,,,
p08,2013-06-11,,17.8,14.9,12.5,11.9,11.9,12.0,12.0,11.7,11.3,10.9,10.5,10.4,10.3,
p09,2013-06-11,19.9,22.3,17.8,15.3,14.8,14.4,14.2,13.7,12.9,,11.4,,10.5,,9.9
p10,2013-06-11,,17.1,16,14.7,14.0,13.7,13.4,13.0,12.3,11.5,10.9,10.3,9.9,9.7,
p11,2013-06-12,,18.8,16.7,15.7,15.2,14.8,14.4,13.9,13.0,12.7,11.5,11.2,,,
p12,2013-06-12,19.5,20.3,17.2,15.2,14.4,13.9,13.5,12.9,12.4,12.0,,,,,
p13,2013-06-12,,17.3,15.9,14.2,13.4,12.9,12.5,12.1,11.5,,,,,,
p14,2013-06-12,19.1,20.0,15.4,14.1,13.4,12.8,12.3,11.8,,,,,,,
p15,2013-06-12,,17.6,16.1,15.3,14.9,14.4,13.8,13.4,12.3,,,,,,
p16,2013-06-12,19.6,19.1,16.9,15.5,14.6,14.0,13.5,12.9,12.3,,,,,,
p17,2013-06-12,,19.2,16.4,15.5,15.2,14.8,14.6,14.2,13.2,12.2,11.5,,,,
p18,2013-06-12,21.4,18.0,15.7,24.1,13.4,12.9,12.5,12.2,,,,,,,
p19,2013-06-12,,18.9,16.9,15.4,14.8,14.4,14.2,13.8,13.0,12.2,11.4,10.8,,,
p20,2013-06-12,20.6,22.2,18.5,16.8,15.9,15.2,14.5,14.0,12.9,,11.1,,10.3,,
