placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-06-11,25,25,14:48,15:08,3.62,1.46,99800,99800,5.1,camion,52,camion
p02,2013-06-11,13.5,11.5,13:57,14:13,5.82,7.41,99800,99800,5.3,camion,44.5,camion
p03,2013-06-11,24.5,12.5,14:05,14:24,5.90,6.40,99800,99800,5.31,camion,36.1,camion
p04,2013-06-11,32,26.5,14:54,15:09,4.75,2.00,99800,99800,5.8,camion,31.3,camion
p05,2013-06-11,17.5,14,11:15,11:38,5.41,7.8,99800,99800,6.1,camion,31.8,camion
p06,2013-06-11,8,0,11:26,11:35,7.41,10.57,99800,99800,5.7,camion,35.2,camion
p07,2013-06-11,12,7,12:04,12:15,4.85,5.10,99800,99800,5.5,camion,43,camion
p08,2013-06-11,53,46,12:11,12:26,5.11,1.8,99800,99800,5.4,camion,35.4,camion
p09,2013-06-11,23,15,12:45,13:07,2.73,5.15,99700,99700,5.34,camion,42.5,camion
p10,2013-06-11,30.5,26.5,12:59,13:17,6.41,7.98,99700,99700,5.85,camion,44.4,camion
p11,2013-06-12,36,21.5,11:12,11:25,15.15,7.76,99900,99900,4.27,camion,49.4,camion
p12,2013-06-12,47.5,38,11:19,11:29,9.56,7.62,99900,99900,4.29,camion,54.7,camion
p13,2013-06-12,71,65,12:04,12:16,3.13,4.57,99900,99900,4.47,camion,55.8,camion
p14,2013-06-12,67.5,61.5,12:11,12:26,6.85,8.50,99900,100000,4.14,camion,32.9,camion
p15,2013-06-12,55,51.5,12:45,12:59,2.28,4.29,99900,99900,4.40,camion,37.1,camion
p16,2013-06-12,69,62,12:56,13:12,6.15,7.35,99900,100000,4.42,camion,50,camion
p17,2013-06-12,9,7.5,13:28,13:38,3.05,3.43,99900,99900,4.70,camion,37.3,camion
p18,2013-06-12,64,59,13:41,13:52,1.55,1.97,99900,99900,4.12,camion,47.2,camion
p19,2013-06-12,20,16.5,14:07,14:18,3.31,4.23,99900,99900,3.79,camion,56.6,camion
p20,2013-06-12,18,15,14:16,14:27,4.53,8.32,99900,99900,4.29,camion,36.2,camion
