placette,date,Tair,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-04-18,,13.9,10.9,10.4,10,9.7,9.1,8.8,8.3,,7.6,,7.4,,7.4
p02,2013-04-18,16.5,13.8,12.9,12.3,,11.5,,10.5,9.4,8.8,8.3,,8.1,,8.2
p03,2013-04-18,21.5,12.8,13.4,12.5,12.0,11.5,10.8,10.3,9.4,8.8,8.4,,8.2,,8.2
p04,2013-04-18,,19.5,14.6,12.5,11.7,11.1,10.5,9.9,9.0,,8.0,7.8,,,
p05,2013-04-18,,17.7,14.8,12.4,11.6,11.2,10.7,10.2,9.3,,8.5,,8.3,,8.4
p06,2013-04-18,17.7,11.6,11.4,10.6,10.0,9.5,9.0,8.8,8.3,8.0,7.9,,8.0,,8.3
p07,2013-04-18,,24.4,13.2,11.0,10.7,10.0,9.5,9.0,8.4,,,,,,
p08,2013-04-18,20.8,16.3,15.5,15.8,12.8,12.2,11.5,11.0,10.2,9.5,9.3,,9.0,,9.00
p09,2013-04-18,,24.5,17.9,14.8,12.9,11.5,10.9,10.4,9.6,,8.6,,8.2,,8.2
p10,2013-04-18,23.2,14.8,12.7,11.5,10.7,9.8,9.3,9.0,8.5,8.2,7.9,,8.0,,
p11,2013-04-19,27.4,12.5,14.4,12.4,11.3,10.9,10.5,10.2,9.4,8.8,8.6,,8.5,8.5,
p12,2013-04-19,,20.8,14.9,11.3,10.0,9.5,9.2,9.0,,,,,,,
p13,2013-04-19,20.9,12.3,11.3,9.6,8.8,8.6,8.4,8.3,8.0,7.8,,,,,
p14,2013-04-19,,24.5,14.8,11.2,10.0,9.4,9.0,8.6,,,,,,,
p15,2013-04-19,20.6,11.5,14.4,11.5,10.7,10.4,10.0,9.9,9.2,,,,,,
p16,2013-04-19,,24.7,14.8,11.5,10.5,9.9,9.5,9.0,,,,,,,
p17,2013-04-19,21.8,14.3,12.9,11.5,10.8,10.5,10.2,9.9,9.3,8.8,8.2,,7.9,,7.9
p18,2013-04-19,,16.9,10.0,9.4,9.0,8.9,8.7,8.5,,,,,,,
p19,2013-04-19,,19.6,11.3,10.2,9.9,9.8,9.7,9.3,8.9,8.6,,,,,
p20,2013-04-19,16.3,11.5,12.0,9.4,9.0,8.8,8.7,8.5,8.0,7.6,7.3,,7.2,,
