placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-04-18,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-04-18,Erica,24.00,26.00,32.00,20.00,21.00,10.00,11.00,15.00,11.00,11.00,20.00,8.00,,,,,,,,
p01,2013-04-18,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-04-18,Mousse,19.00,,,,,,,,,,,,,,,,,,,
p02,2013-04-18,Calluna,9.50,8.00,19.00,11.50,,,,,,,,,,,,,,,,
p02,2013-04-18,Erica,19.00,20.00,21.00,14.00,11.00,25.00,7.00,11.00,,,,,,,,,,,,
p02,2013-04-18,Sphagnum,15.50,,,,,,,,,,,,,,,,,,,
p02,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-04-18,Calluna,10.50,7.00,8.00,11.00,19.00,21.00,,,,,,,,,,,,,,
p03,2013-04-18,Erica,7.00,9.00,9.50,12.00,18.00,3.00,4.50,,,,,,,,,,,,,
p03,2013-04-18,Sphagnum,12.50,,,,,,,,,,,,,,,,,,,
p03,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-04-18,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-04-18,Erica,12.00,9.00,5.00,6.00,5.00,7.00,8.00,11.00,12.00,8.00,8.00,11.00,9.00,14.00,16.00,20.00,11,,,
p04,2013-04-18,Sphagnum,53.00,,,,,,,,,,,,,,,,,,,
p04,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-04-18,Calluna,12.00,8.00,,,,,,,,,,,,,,,,,,
p05,2013-04-18,Erica,9.00,5.00,3.00,16.00,10.00,,,,,,,,,,,,,,,
p05,2013-04-18,Sphagnum,21.50,,,,,,,,,,,,,,,,,,,
p05,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-04-18,Calluna,11.50,5.50,,,,,,,,,,,,,,,,,,
p06,2013-04-18,Erica,23.00,16.00,17.00,24.00,9.00,13.00,11.00,3.00,6.50,,,,,,,,,,,
p06,2013-04-18,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2013-04-18,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2013-04-18,Erica,11.00,6.00,12.00,6.00,14.00,20.00,12.00,16.00,11.00,,,,,,,,,,,
p07,2013-04-18,Sphagnum,10.00,,,,,,,,,,,,,,,,,,,
p07,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2013-04-18,Calluna,,,,,,,,,,,,,,,,,,,,
p08,2013-04-18,Erica,17.50,20.00,19.00,4.00,14.00,2.50,14.50,11.00,,,,,,,,,,,,
p08,2013-04-18,Sphagnum,1.50,,,,,,,,,,,,,,,,,,,
p08,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p08,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p09,2013-04-18,Calluna,,,,,,,,,,,,,,,,,,,,
p09,2013-04-18,Erica,8.00,7.00,13.00,13.00,4.00,6.00,,,,,,,,,,,,,,
p09,2013-04-18,Sphagnum,,,,,,,,,,,,,,,,,,,,
p09,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p09,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p09,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p09,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p09,2013-04-18,Mousse,12.50,,,,,,,,,,,,,,,,,,,
p10,2013-04-18,Calluna,,,,,,,,,,,,,,,,,,,,
p10,2013-04-18,Erica,5.50,11.00,9.00,9.50,11.00,7.50,2.00,6.50,,,,,,,,,,,,
p10,2013-04-18,Sphagnum,,,,,,,,,,,,,,,,,,,,
p10,2013-04-18,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p10,2013-04-18,Molinia,,,,,,,,,,,,,,,,,,,,
p10,2013-04-18,Eriophorum,,,,,,,,,,,,,,,,,,,,
p10,2013-04-18,Polytrick,,,,,,,,,,,,,,,,,,,,
p10,2013-04-18,Mousse,,,,,,,,,,,,,,,,,,,,
p11,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p11,2013-04-19,Erica,9.00,19.00,8.50,8.00,15.00,7.00,12.50,6.50,,,,,,,,,,,,
p11,2013-04-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p11,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p11,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p11,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p11,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p11,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p12,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p12,2013-04-19,Erica,18.00,18.00,14.00,27.00,13.00,26.00,27.00,18.00,,,,,,,,,,,,
p12,2013-04-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p12,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p12,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p12,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p12,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p12,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p13,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p13,2013-04-19,Erica,22.00,19.00,6.50,24.00,20.00,,,,,,,,,,,,,,,
p13,2013-04-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p13,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p13,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p13,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p13,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p13,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p14,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p14,2013-04-19,Erica,15.00,7.00,7.00,19.00,12.00,10.00,8.00,20.00,9.00,7.00,6.00,,,,,,,,,
p14,2013-04-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p14,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p14,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p14,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p14,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p14,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p15,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p15,2013-04-19,Erica,21.00,23.00,5.00,4.50,7.00,12.00,20.00,8.50,,,,,,,,,,,,
p15,2013-04-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p15,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p15,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p15,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p15,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p15,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Erica,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p16,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p17,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p17,2013-04-19,Erica,15.00,10.00,6.50,10.50,12.00,13.00,26.00,,,,,,,,,,,,,
p17,2013-04-19,Sphagnum,36.50,,,,,,,,,,,,,,,,,,,
p17,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p17,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p17,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p17,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p17,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Erica,18.00,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Sphagnum,58.50,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p18,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p19,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p19,2013-04-19,Erica,18.00,11.00,10.00,13.00,24.00,9.00,18.00,6.00,15.00,18.00,16.00,22.00,14.00,5.00,,,,,,
p19,2013-04-19,Sphagnum,54.50,,,,,,,,,,,,,,,,,,,
p19,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p19,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p19,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p19,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p19,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
p20,2013-04-19,Calluna,,,,,,,,,,,,,,,,,,,,
p20,2013-04-19,Erica,14.00,10.00,13.00,,,,,,,,,,,,,,,,,
p20,2013-04-19,Sphagnum,,,,,,,,,,,,,,,,,,,,
p20,2013-04-19,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p20,2013-04-19,Molinia,,,,,,,,,,,,,,,,,,,,
p20,2013-04-19,Eriophorum,,,,,,,,,,,,,,,,,,,,
p20,2013-04-19,Polytrick,,,,,,,,,,,,,,,,,,,,
p20,2013-04-19,Mousse,,,,,,,,,,,,,,,,,,,,
