placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-04-18,27.0,24.0,11:02,11:21,3.43,3.66,100100,100200,,,47.5,terrain
p02,2013-04-18,14.5,12.5,10:58,11:19,3.71,3.4,100100,100200,,,46.2,terrain
p03,2013-04-18,27.5,13.0,12:07,12:28,9.10,5.4,100200,100200,,,30.5,terrain
p04,2013-04-18,35.0,26.0,12:03,12:20,8.30,7.10,100200,100200,,,32.4,terrain
p05,2013-04-18,20.5,11.5,12:52,13:14,4.35,4.64,100200,100200,,,32.8,terrain
p06,2013-04-18,5.0,0.0,13:07,13:26,3.2,5.11,100200,100200,,,43.8,terrain
p07,2013-04-18,13.0,9.0,13:50,14:10,9.5,11.5,100200,100200,,,43.1,terrain
p08,2013-04-18,54.5,47.5,14:03,14:24,18.2,15.4,100200,100200,,,34.2,terrain
p09,2013-04-18,23.5,18.0,14:50,15:04,16.50,16.75,100200,100200,,,40.1,terrain
p10,2013-04-18,32.5,25.0,15:22,15:43,4.93,10.5,100200,100100,,,46.3,terrain
p11,2013-04-19,37.0,21.5,15:06,15:25,19.6,21.1,100500,100500,,,43.9,terrain
p12,2013-04-19,47.0,40.0,14:37,14:53,19.5,3.2,100500,100500,,,49.4,terrain
p13,2013-04-19,71.0,68.5,14:09,14:27,3.9,20.2,100500,100500,,,50.7,terrain
p14,2013-04-19,68.0,61.0,13:49,14:07,20.50,19.95,100500,100500,,,42.1,terrain
p15,2013-04-19,55.5,50.5,13:08,13:27,22.2,10.2,100500,100500,,,49.5,terrain
p16,2013-04-19,70.0,62.0,12:52,13:27,19.5,19.9,100500,100500,,,56.4,terrain
p17,2013-04-19,10.0,11.0,12:18,12:38,21.2,21.8,100500,100500,,,43.9,terrain
p18,2013-04-19,67.0,62.0,12:04,12:22,7.5,11.9,100500,100500,,,55.4,terrain
p19,2013-04-19,21.0,16.5,11:11,11:28,13.70,14.60,100500,100500,,,82.6,terrain
p20,2013-04-19,18.0,16.5,11:06,11:52,20.4,20.7,100500,100500,,,41.1,terrain
