placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-04-18,100.00,100.00,100.00,100.00,100.00
p02,2013-04-18,29.92,24.53,32.33,46.62,22.03
p03,2013-04-18,24.82,26.06,22.84,15.74,16.28
p04,2013-04-18,80.14,61.10,94.26,60.65,49.90
p05,2013-04-18,98.56,54.19,52.67,100.00,100.00
p06,2013-04-18,58.52,56.18,67.16,43.77,85.34
p07,2013-04-18,100.00,100.00,100.00,100.00,100.00
p08,2013-04-18,29.71,90.86,41.24,43.86,34.08
p09,2013-04-18,53.53,64.84,47.79,35.82,34.42
p10,2013-04-18,38.08,89.54,57.05,75.64,57.48
p11,2013-04-19,35.95,14.79,33.15,22.63,34.87
p12,2013-04-19,89.30,100.00,64.99,100.00,100.00
p13,2013-04-19,100.00,60.87,41.42,65.82,42.56
p14,2013-04-19,100.00,100.00,100.00,100.00,100.00
p15,2013-04-19,30.67,39.81,61.98,70.48,40.31
p16,2013-04-19,90.49,100.00,100.00,100.00,100.00
p17,2013-04-19,37.57,61.73,38.43,65.29,72.68
p18,2013-04-19,100.00,100.00,100.00,100.00,100.00
p19,2013-04-19,100.00,100.00,100.00,100.00,100.00
p20,2013-04-19,100.00,99.28,100.00,80.67,100.00
