placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-04-18,0,75,0,0,0,5,0,85
p02,2013-04-18,20,50,40,0,0,0,0,0
p03,2013-04-18,10,5,75,0,0,0,0,0
p04,2013-04-18,0,50,90,0,0,0,0,0
p05,2013-04-18,<5,5,100,0,0,<5,0,0
p06,2013-04-18,<5,20,<5,0,0,0,0,0
p07,2013-04-18,0,10,100,0,0,5,0,0
p08,2013-04-18,0,60,40,0,0,0,0,0
p09,2013-04-18,0,5,0,0,0,0,0,10
p10,2013-04-18,0,15,0,0,0,0,<5,0
p11,2013-04-19,0,15,0,0,0,0,0,80
p12,2013-04-19,0,20,0,0,20,0,0,0
p13,2013-04-19,0,<5,0,0,0,0,0,0
p14,2013-04-19,0,20,0,0,0,0,0,0
p15,2013-04-19,0,95,0,0,0,0,0,0
p16,2013-04-19,0,0,0,0,0,<5,0,0
p17,2013-04-19,0,50,50,0,0,0,0,0
p18,2013-04-19,<5,0,50,0,0,0,0,0
p19,2013-04-19,0,20,100,9999,0,0,0,0
p20,2013-04-19,0,<5,0,0,0,0,0,0
