fileid,start,end,other,state
2013-09-24 11_00 p13.m70,13,0,,
2013-09-24 11_49 p12.m70,26,0,,
2013-09-24 12_18 p03.m70,0,16,,
2013-09-24 12_59 p13.m70,25,0,,
2013-09-24 14_06 p15.m70,6,0,,
2013-09-25 11_06 p19.m70,22,0,,
2013-09-25 11_57 p08.m70,35,0,,
2013-09-25 14_38 p06.m70,4,0,,
2013-09-25 12_38 p09.m70,4,0,,
2013-09-25 11_25 p01.m70,1,0,,
2013-09-25 11_47 p02.m70,4,0,,
