fileid,start,end,other,state
2014-04-14 12_51 p16.m70,7,0,,
2014-04-14 13_30 p13.m70,7,0,,
2014-04-15 11_04 p10.m70,11,0,,
2014-04-15 11_11 p10.m70,7,0,,
