fileid,start,end,other,state
2013-05-15 13_44 p03.m70,0,27,,
2013-05-15 12_54 p06.m70,0,19,,
2013-05-15 12_26 p07.m70,13,0,,
2013-05-15 12_09 p08.m70,16,0,,
2013-05-15 11_48 p09.m70,26,0,,
2013-05-15 11_34 p09.m70,4,4,,
2013-05-15 11_43 p10.m70,0,16,,
2013-05-15 11_29 p10.m70,0,23,,
2013-05-14 14_22 p11.m70,8,0,,
2013-05-14 14_09 p12.m70,0,18,,
2013-05-14 14_21 p12.m70,3,0,,
2013-05-14 14_34 p13.m70,7,0,,
2013-05-14 13_25 p14.m70,1,0,,
2013-05-14 13_04 p15.m70,6,0,,
2013-05-14 11_03 p19.m70,0,17,,
