fileid,start,end,other,state
2014-03-19 11_25 p01.m70,0,11,,
2014-03-19 12_08 p04.m70,16,0,,
2014-03-19 12_54 p06.m70,5,0,,
2014-03-19 12_56 p05.m70,7,0,,
2014-03-19 13_28 p08.m70,6,0,,
2014-03-19 14_13 p09.m70,12,0,,
2014-03-20 11_01 p12.m70,9,0,,
2014-03-20 11_08 p12.m70,6,0,,
2014-03-20 11_47 p14.m70,3,0,,
2014-03-20 11_55 p14.m70,12,0,,
2014-03-20 12_32 p16.m70,5,0,,
2014-03-20 12_40 p16.m70,8,0,,
2014-03-20 13_35 p19.m70,5,7,,
2014-03-20 13_55 p20.m70,2,0,,
