fileid,start,end,other,state
2013-10-22 11_21 p20.m70,3,0,,
2013-10-22 13_01 p15.m70,6,0,,
2013-10-22 13_03 p16.m70,15,0,,
2013-10-22 13_40 p13.m70,6,0,,
2013-10-22 14_15 p11.m70,3,0,,
2013-10-23 12_14 p05.m70,9,0,,
2013-10-22 12_16 p06.m70,5,0,,
2013-10-22 12_59 p07.m70,10,0,,
2013-10-22 13_39 p10.m70,7,0,,
2013-10-22 13_51 p09.m70,0,7,,
2013-10-22 14_03 p09.m70,20,0,,
