fileid,start,end,other,state
2013-03-05 12_24 p11.m70,26,0,,
2013-03-05 14_05 p12.m70,26,0,,
2013-03-05 14_30 p13.m70,4,22,,
2013-03-05 15_42 p15.m70,0,57,,
2013-03-06 10_34 p02.m70,7,0,,
2013-03-06 10_53 p02.m70,0,25,,
2013-03-06 11_30 p03.m70,5,0,,
2013-03-06 11_50 p03.m70,3,0,,
2013-03-06 15_44 p09.m70,6,12,,
2013-03-06 16_40 p20.m70,0,30,,
