fileid,start,end,other,state
2013-07-24 11_32 p10.m70,0,6,,
2013-07-24 11_35 p09.m70,3,6,,
2013-07-24 12_31 p07.m70,3,6,,
2013-07-24 13_10 p06.m70,7,9,,
2013-07-24 13_21 p06.m70,9,0,,
2013-07-24 14_02 p03.m70,0,6,,
2013-07-24 14_30 p04.m70,1,0,,
2013-07-25 12_35 p17.m70,0,9,,
2013-07-25 12_44 p18.m70,21,0,,
2013-07-25 12_57 p17.m70,22,0,,
2013-07-25 13_52 p14.m70,0,12,,
2013-07-25 14_05 p13.m70,20,0,,
2013-07-25 14_18 p13.m70,0,9,,
2013-07-25 14_29 p12.m70,0,17,,
2013-07-25 14_42 p11.m70,0,6,,
