fileid,start,end,other,state
2013-06-11 12_11 p08.m70,0,20,,
2013-06-11 12_45 p09.m70,0,30,,
2013-06-11 14_48 p01.m70,0,34,,
2013-06-11 14_54 p04.m70,0,26,,
2013-06-12 11_12 p11.m70,0,17,,
2013-06-12 11_19 p12.m70,0,16,,
2013-06-12 12_16 p13.m70,2,0,,
2013-06-12 14_07 p19.m70,0,8,,
