fileid,start,end,other,state
2013-04-18 11_19 p02.m70,9,0,,
2013-04-18 12_03 p04.m70,0,11,,
2013-04-18 12_07 p03.m70,6,0,,
2013-04-18 12_28 p03.m70,12,0,,
2013-04-18 15_04 p09.m70,0,12,,
2013-04-18 15_43 p10.m70,5,,,
2013-04-19 11_11 p19.m70,3,,,
2013-04-19 12_18 p17.m70,5,,,
2013-04-19 12_52 p16.m70,0,20,,
2013-04-19 13_08 p15.m70,5,,,
2013-04-19 15_25 p11.m70,5,,,
