fileid,start,end,other,state
2013-07-04 11_33 p11.m70,24,0,,
2013-07-04 12_25 p13.m70,10,10,,
2013-07-04 12_31 p14.m70,0,24,,
2013-07-04 14_04 p18.m70,0,18,,
2013-07-04 14_45 p20.m70,0,12,,
2013-07-05 10_44 p01.m70,7,20,,
2013-07-05 13_59 p06.m70,0,20,,
2013-07-05 15_10 p08.m70,0,10,,
