placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2014-04-15,23,20,13:50,13:57,17.20,17.50,100300,100300,,camion,,camion
p02,2014-04-15,13,9.5,13:49,13:56,16.92,17.92,100300,100300,,camion,,camion
p03,2014-04-15,26,11,13:05,13:16,17.65,17.80,100400,100400,,camion,,camion
p04,2014-04-15,31,26,13:16,13:23,17.50,18.70,100300,100300,,camion,,camion
p05,2014-04-15,16,9,12:30,12:41,18.10,15.70,100300,100300,,camion,,camion
p06,2014-04-15,-6,0,12:19,12:28,17.26,16.91,100400,100400,,camion,,camion
p07,2014-04-15,8,2,11:41,11:49,11.80,16.10,100300,100300,,camion,,camion
p08,2014-04-15,50.5,40.5,11:38,11:46,14.02,14.72,100300,100300,,camion,,camion
p09,2014-04-15,22,12.5,10:59,11:06,13.20,12.80,100200,100300,,camion,,camion
p10,2014-04-15,27,24.5,11:04,11:11,12.72,12.83,100300,100300,,camion,,camion
p11,2014-04-14,34,22,14:19,14:27,18.57,18.44,100100,100100,,camion,,camion
p12,2014-04-14,50,43.5,14:07,14:18,17.1,16.8,100100,100000,,camion,,camion
p13,2014-04-14,70.5,61,13:30,13:39,17.82,17.72,100100,100100,,camion,,camion
p14,2014-04-14,66,62.5,13:25,13:34,17.50,18.30,100100,100100,,camion,,camion
p15,2014-04-14,55.5,50,12:50,13:00,17.41,18.42,100100,100100,,camion,,camion
p16,2014-04-14,68.5,60,12:41,12:51,17.20,17.10,100100,100100,,camion,,camion
p17,2014-04-14,9,8.5,12:00,12:08,18.04,18.82,100100,100200,,camion,,camion
p18,2014-04-14,65,61,12:03,12:11,5.90,1.25,100100,100100,,camion,,camion
p19,2014-04-14,20.5,14.5,11:13,11:21,13.36,14.29,100100,100200,,camion,,camion
p20,2014-04-14,17.5,16.5,11:14,11:24,13.70,14.30,100100,100100,,camion,,camion
