placette,date,TairDeb,TairFin,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2014-04-15,20.2,21.5,16.2,12.3,11.5,11.1,11.3,11.5,11.7,11.5,11.1,10.9,10.4,10.3,10.0,10.0
p02,2014-04-15,21.7,19.4,20.5,15.5,12.8,12.1,12.2,12.1,12.1,11.5,11.3,10.8,10.5,10.3,10.1,10.0
p03,2014-04-15,27.4,21.5,14.7,15.4,12.9,12.7,12.6,12.7,12.7,11.9,11.3,11.0,10.7,10.4,10.3,10.2
p04,2014-04-15,17.0,19.7,21.0,14.4,12.1,11.7,11.7,11.7,11.5,11.2,10.7,10.3,10.0,,,
p05,2014-04-15,23.6,19.7,20.3,13.5,12.2,12.0,12.4,12.5,12.5,12.0,11.5,11.1,10.7,10.5,10.4,10.3
p06,2014-04-15,18.5,27.7,20.2,15.4,12.3,12.1,12.3,12.2,12.0,11.5,10.9,10.5,10.2,9.9,9.8,9.7
p07,2014-04-15,16.6,20.2,16.4,12.9,10.2,10.3,10.8,10.9,10.7,10.3,9.8,9.4,9.0,8.8,8.8,8.6
p08,2014-04-15,20.1,17.7,15.0,13.3,10.6,10.9,11.3,11.4,11.3,10.9,10.6,10.3,10.2,10.0,,
p09,2014-04-15,10.10,13.2,16.1,11.9,10.9,11.0,11.3,11.4,11.2,10.8,10.5,10.2,10.0,10.0,9.9,9.9
p10,2014-04-15,12.7,18.5,11.7,10.2,10.1,10.4,10.6,10.6,10.5,10.2,9.9,9.6,9.4,9.3,,
p11,2014-04-14,24.4,24.3,21.9,19.9,14.7,11.4,10.5,10.5,10.7,10.5,10.3,10.0,9.9,9.8,9.7,9.6
p12,2014-04-14,23.6,22.1,21.2,13.2,10.6,10.0,10.0,10.0,9.9,9.9,9.9,9.7,,,,
p13,2014-04-14,31.8,28.7,19.5,12.5,10.3,9.6,9.5,9.7,9.7,9.4,9.4,9.2,,,,
p14,2014-04-14,23.9,22.6,22.8,12.8,9.5,8.8,8.8,8.8,8.9,8.8,,,,,,
p15,2014-04-14,22.6,26.8,19.0,12.7,11.3,11.5,11.5,11.4,11.2,10.8,,,,,,
p16,2014-04-14,22.1,22.2,23.5,12.1,10.4,10.1,10.0,10.2,10.2,9.9,,,,,,
p17,2014-04-14,23.3,21.2,16.9,12.0,10.5,10.8,11.3,11.5,11.5,11.0,10.5,10.2,10.0,9.7,,
p18,2014-04-14,21.6,22.3,18.5,15.5,11.3,8.9,8.7,9.0,9.4,9.5,,,,,,
p19,2014-04-14,19.0,22.9,17.8,10.2,9.7,10.0,10.3,10.4,10.3,10.0,9.7,9.5,9.4,,,
p20,2014-04-14,21.5,22.4,20.2,11.1,10.6,10.9,11.1,10.9,10.7,10.4,9.8,9.4,9.2,9.0,,
