placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2014-04-15,,,,,,,,
p02,2014-04-15,,,,,,,,
p03,2014-04-15,,,,,,,,
p04,2014-04-15,,,,,,,,
p05,2014-04-15,,,,,,,,
p06,2014-04-15,,,,,,,,
p07,2014-04-15,,,,,,,,
p08,2014-04-15,,,,,,,,
p09,2014-04-15,,,,,,,,
p10,2014-04-15,,,,,,,,
p11,2014-04-14,,,,,,,,
p12,2014-04-14,,,,,,,,
p13,2014-04-14,,,,,,,,
p14,2014-04-14,,,,,,,,
p15,2014-04-14,,,,,,,,
p16,2014-04-14,,,,,,,,
p17,2014-04-14,,,,,,,,
p18,2014-04-14,,,,,,,,
p19,2014-04-14,,,,,,,,
p20,2014-04-14,,,,,,,,
