placette,date,HR1,HR2,HR3,HR4,HR5
p01,2014-04-15,76.42,62.01,72.8,70.62,100
p02,2014-04-15,56.29,62.68,70.50,64.48,44.88
p03,2014-04-15,23.51,21.71,30.25,29.74,30.25
p04,2014-04-15,76.29,60.22,100,100,100
p05,2014-04-15,84.34,100,100,100,87.51
p06,2014-04-15,100,100,100,100,88.75
p07,2014-04-15,85.84,89.88,100,77.44,100
p08,2014-04-15,88.21,100,89.63,100,100
p09,2014-04-15,52.62,43.41,98.49,83.78,41.24
p10,2014-04-15,100,100,100,100,100
p11,2014-04-14,33.85,41.59,35.07,14.25,41.19
p12,2014-04-14,95.31,72.25,59.42,82.98,100
p13,2014-04-14,62.47,54.97,37.32,56.94,47.86
p14,2014-04-14,100,100,100,100,100
p15,2014-04-14,100,66.73,61.85,97.15,49.26
p16,2014-04-14,100,97.02,73.53,100,100
p17,2014-04-14,100,82.68,66.53,100,56.41
p18,2014-04-14,41.43,100,100,100,51.03
p19,2014-04-14,100,100,67.78,100,67.76
p20,2014-04-14,100,100,100,100,100
