placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,,Calluna,,,,,,,,,,,,,,,,,,,,
p01,,Erica,,,,,,,,,,,,,,,,,,,,
p01,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,,Molinia,,,,,,,,,,,,,,,,,,,,
p01,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,,Mousse,,,,,,,,,,,,,,,,,,,,
p02,,Calluna,,,,,,,,,,,,,,,,,,,,
p02,,Erica,,,,,,,,,,,,,,,,,,,,
p02,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p02,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,,Molinia,,,,,,,,,,,,,,,,,,,,
p02,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,,Mousse,,,,,,,,,,,,,,,,,,,,
p03,,Calluna,,,,,,,,,,,,,,,,,,,,
p03,,Erica,,,,,,,,,,,,,,,,,,,,
p03,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p03,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,,Molinia,,,,,,,,,,,,,,,,,,,,
p03,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,,Mousse,,,,,,,,,,,,,,,,,,,,
p04,,Calluna,,,,,,,,,,,,,,,,,,,,
p04,,Erica,,,,,,,,,,,,,,,,,,,,
p04,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p04,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,,Molinia,,,,,,,,,,,,,,,,,,,,
p04,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,,Mousse,,,,,,,,,,,,,,,,,,,,
p05,,Calluna,,,,,,,,,,,,,,,,,,,,
p05,,Erica,,,,,,,,,,,,,,,,,,,,
p05,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p05,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,,Molinia,,,,,,,,,,,,,,,,,,,,
p05,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,,Mousse,,,,,,,,,,,,,,,,,,,,
p06,,Calluna,,,,,,,,,,,,,,,,,,,,
p06,,Erica,,,,,,,,,,,,,,,,,,,,
p06,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,,Molinia,,,,,,,,,,,,,,,,,,,,
p06,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,,Mousse,,,,,,,,,,,,,,,,,,,,
p07,,Calluna,,,,,,,,,,,,,,,,,,,,
p07,,Erica,,,,,,,,,,,,,,,,,,,,
p07,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p07,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,,Molinia,,,,,,,,,,,,,,,,,,,,
p07,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,,Mousse,,,,,,,,,,,,,,,,,,,,
p08,,Calluna,,,,,,,,,,,,,,,,,,,,
p08,,Erica,,,,,,,,,,,,,,,,,,,,
p08,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p08,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,,Molinia,,,,,,,,,,,,,,,,,,,,
p08,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,,Mousse,,,,,,,,,,,,,,,,,,,,
p09,,Calluna,,,,,,,,,,,,,,,,,,,,
p09,,Erica,,,,,,,,,,,,,,,,,,,,
p09,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p09,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p09,,Molinia,,,,,,,,,,,,,,,,,,,,
p09,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p09,,Polytrick,,,,,,,,,,,,,,,,,,,,
p09,,Mousse,,,,,,,,,,,,,,,,,,,,
p10,,Calluna,,,,,,,,,,,,,,,,,,,,
p10,,Erica,,,,,,,,,,,,,,,,,,,,
p10,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p10,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p10,,Molinia,,,,,,,,,,,,,,,,,,,,
p10,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p10,,Polytrick,,,,,,,,,,,,,,,,,,,,
p10,,Mousse,,,,,,,,,,,,,,,,,,,,
p11,,Calluna,,,,,,,,,,,,,,,,,,,,
p11,,Erica,,,,,,,,,,,,,,,,,,,,
p11,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p11,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p11,,Molinia,,,,,,,,,,,,,,,,,,,,
p11,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p11,,Polytrick,,,,,,,,,,,,,,,,,,,,
p11,,Mousse,,,,,,,,,,,,,,,,,,,,
p12,,Calluna,,,,,,,,,,,,,,,,,,,,
p12,,Erica,,,,,,,,,,,,,,,,,,,,
p12,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p12,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p12,,Molinia,,,,,,,,,,,,,,,,,,,,
p12,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p12,,Polytrick,,,,,,,,,,,,,,,,,,,,
p12,,Mousse,,,,,,,,,,,,,,,,,,,,
p13,,Calluna,,,,,,,,,,,,,,,,,,,,
p13,,Erica,,,,,,,,,,,,,,,,,,,,
p13,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p13,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p13,,Molinia,,,,,,,,,,,,,,,,,,,,
p13,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p13,,Polytrick,,,,,,,,,,,,,,,,,,,,
p13,,Mousse,,,,,,,,,,,,,,,,,,,,
p14,,Calluna,,,,,,,,,,,,,,,,,,,,
p14,,Erica,,,,,,,,,,,,,,,,,,,,
p14,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p14,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p14,,Molinia,,,,,,,,,,,,,,,,,,,,
p14,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p14,,Polytrick,,,,,,,,,,,,,,,,,,,,
p14,,Mousse,,,,,,,,,,,,,,,,,,,,
p15,,Calluna,,,,,,,,,,,,,,,,,,,,
p15,,Erica,,,,,,,,,,,,,,,,,,,,
p15,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p15,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p15,,Molinia,,,,,,,,,,,,,,,,,,,,
p15,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p15,,Polytrick,,,,,,,,,,,,,,,,,,,,
p15,,Mousse,,,,,,,,,,,,,,,,,,,,
p16,,Calluna,,,,,,,,,,,,,,,,,,,,
p16,,Erica,,,,,,,,,,,,,,,,,,,,
p16,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p16,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p16,,Molinia,,,,,,,,,,,,,,,,,,,,
p16,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p16,,Polytrick,,,,,,,,,,,,,,,,,,,,
p16,,Mousse,,,,,,,,,,,,,,,,,,,,
p17,,Calluna,,,,,,,,,,,,,,,,,,,,
p17,,Erica,,,,,,,,,,,,,,,,,,,,
p17,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p17,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p17,,Molinia,,,,,,,,,,,,,,,,,,,,
p17,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p17,,Polytrick,,,,,,,,,,,,,,,,,,,,
p17,,Mousse,,,,,,,,,,,,,,,,,,,,
p18,,Calluna,,,,,,,,,,,,,,,,,,,,
p18,,Erica,,,,,,,,,,,,,,,,,,,,
p18,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p18,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p18,,Molinia,,,,,,,,,,,,,,,,,,,,
p18,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p18,,Polytrick,,,,,,,,,,,,,,,,,,,,
p18,,Mousse,,,,,,,,,,,,,,,,,,,,
p19,,Calluna,,,,,,,,,,,,,,,,,,,,
p19,,Erica,,,,,,,,,,,,,,,,,,,,
p19,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p19,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p19,,Molinia,,,,,,,,,,,,,,,,,,,,
p19,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p19,,Polytrick,,,,,,,,,,,,,,,,,,,,
p19,,Mousse,,,,,,,,,,,,,,,,,,,,
p20,,Calluna,,,,,,,,,,,,,,,,,,,,
p20,,Erica,,,,,,,,,,,,,,,,,,,,
p20,,Sphagnum,,,,,,,,,,,,,,,,,,,,
p20,,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p20,,Molinia,,,,,,,,,,,,,,,,,,,,
p20,,Eriophorum,,,,,,,,,,,,,,,,,,,,
p20,,Polytrick,,,,,,,,,,,,,,,,,,,,
p20,,Mousse,,,,,,,,,,,,,,,,,,,,
