placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-12-13,22,22,13:59,14:07,3.12,2.08,100200,100200,,,,
p02,2013-12-13,14.5,12,13:26,13:36,3.39,2.81,100200,100200,4.45,camion,52,camion
p03,2013-12-13,25.5,11,13:23,13:32,3.46,2.71,100200,100200,4.23,camion,48,camion
p04,2013-12-13,32,29,15:01,15:11,1.50,1.20,100300,100300,4.74,camion,36,camion
p05,2013-12-13,17.5,12,12:33,12:45,1.75,3.2,100100,100100,4.63,camion,35,camion
p06,2013-12-13,4,0,11:53,12:04,2.3,2.10,100200,100200,4.59,camion,34,camion
p07,2013-12-13,12.5,5.25,11:50,11:59,2.00,2.09,100300,100200,4.48,camion,34,camion
p08,2013-12-13,49.5,41,11:13,11:22,3.30,5.15,100300,100300,4.23,camion,36,camion
p09,2013-12-13,22.5,14,11:00,11:15,4.13,3.09,100200,100300,4.17,camion,41,camion
p10,2013-12-13,28,27,14:25,14:38,6.15,3.97,100200,100200,4.79,camion,38,camion
p11,2013-12-12,36,22.5,12:04,10:54,9.1,5.6,100200,100200,4.52,camion,42,camion
p12,2013-12-12,50.5,46,11:11,11:21,1.71,1.50,100700,100700,4.27,camion,51,camion
p13,2013-12-12,72,63,11:29,11:41,2.95,2.83,100700,100600,4.33,camion,45,camion
p14,2013-12-12,67,60,11:59,12:09,4.85,4.07,100700,100600,4.20,camion,49,camion
p15,2013-12-12,55,51,12:11,12:23,4.18,3.77,100600,100600,4.33,camion,48,camion
p16,2013-12-12,70,65,12:38,12:48,2.70,2.50,100600,100600,4.33,camion,50,camion
p17,2013-12-12,9,9,12:56,13:13,6.72,4.24,100600,100600,4.37,camion,35,camion
p18,2013-12-12,67,63,13:26,13:37,1.23,1.05,100600,100600,3.88,camion,47,camion
p19,2013-12-12,21.5,15.5,13:49,13:58,2.81,3.22,100600,100600,3.78,camion,57,camion
p20,2013-12-12,19,16,14:13,14:39,2.90,3.10,100600,100600,4.23,camion,41,camion
