placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-09-24,Calluna,27,,,,,,,,,,,,,,,,,,,
p01,2013-09-24,Erica,18,18,18,18,18,18,4,4,4,4,,,,,,,,,,
p01,2013-09-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-09-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-09-24,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-09-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-09-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-09-24,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2013-09-24,Calluna,16,16,16,16,,,,,,,,,,,,,,,,
p02,2013-09-24,Erica,3,3,3,8,8,20,20,20,20,1,,,,,,,,,,
p02,2013-09-24,Sphagnum,13.6,,,,,,,,,,,,,,,,,,,
p02,2013-09-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-09-24,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-09-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-09-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-09-24,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-09-24,Calluna,35,35,35,20,20,20,20,20,20,,,,,,,,,,,
p03,2013-09-24,Erica,20,20,10,10,10,10,,,,,,,,,,,,,,
p03,2013-09-24,Sphagnum,11.5,,,,,,,,,,,,,,,,,,,
p03,2013-09-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-09-24,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-09-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-09-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-09-24,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-09-24,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-09-24,Erica,20,20,10,10,10,5,5,5,5,5,,,,,,,,,,
p04,2013-09-24,Sphagnum,52,,,,,,,,,,,,,,,,,,,
p04,2013-09-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2013-09-24,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-09-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-09-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-09-24,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-09-24,Calluna,10,12,13,,,,,,,,,,,,,,,,,
p05,2013-09-24,Erica,13,13,8,8,,,,,,,,,,,,,,,,
p05,2013-09-24,Sphagnum,25,,,,,,,,,,,,,,,,,,,
p05,2013-09-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2013-09-24,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2013-09-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-09-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-09-24,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-09-24,Calluna,10,12,,,,,,,,,,,,,,,,,,
p06,2013-09-24,Erica,5,5,5,5,5,5,5,5,20,20,,,,,,,,,,
p06,2013-09-24,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2013-09-24,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2013-09-24,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-09-24,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2013-09-24,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2013-09-24,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2013-09-25,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2013-09-25,Erica,20,20,15,15,15,15,10,10,10,10,,,,,,,,,,
p07,2013-09-25,Sphagnum,4.5,,,,,,,,,,,,,,,,,,,
p07,2013-09-25,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,2013-09-25,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2013-09-25,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2013-09-25,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2013-09-25,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2013-09-25,Calluna,,,,,,,,,,,,,,,,,,,,
p08,2013-09-25,Erica,28,28,28,28,28,28,10,10,5,5,,,,,,,,,,
p08,2013-09-25,Sphagnum,3,,,,,,,,,,,,,,,,,,,
p08,2013-09-25,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,2013-09-25,Molinia,,,,,,,,,,,,,,,,,,,,
p08,2013-09-25,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,2013-09-25,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,2013-09-25,Mousse,,,,,,,,,,,,,,,,,,,,
p09,2013-09-25,Calluna,,,,,,,,,,,,,,,,,,,,
p09,2013-09-25,Erica,20,15,15,15,15,2,2,3.5,5,5,,,,,,,,,,
p09,2013-09-25,Sphagnum,,,,,,,,,,,,,,,,,,,,
p09,2013-09-25,Sphg.Cuspi,11.8,,,,,,,,,,,,,,,,,,,
p09,2013-09-25,Molinia,,,,,,,,,,,,,,,,,,,,
p09,2013-09-25,Eriophorum,,,,,,,,,,,,,,,,,,,,
p09,2013-09-25,Polytrick,,,,,,,,,,,,,,,,,,,,
p09,2013-09-25,Mousse,,,,,,,,,,,,,,,,,,,,
p10,2013-09-25,Calluna,,,,,,,,,,,,,,,,,,,,
p10,2013-09-25,Erica,5,5,5,5,5,5,20,20,30,30,,,,,,,,,,
