placette,date,HR1,HR2,HR3,HR4,HR5
p01,2013-09-24,31.97,64.18,39.25,54.19,36.83
p02,2013-09-24,31.30,22.65,33.01,26.25,25.48
p03,2013-09-24,12.50,22.15,20.17,29.19,19.52
p04,2013-09-24,100,49.90,45.34,51.99,32.25
p05,2013-09-24,32.46,56.27,43.67,45.20,49.84
p06,2013-09-24,100,44.64,45.00,44.64,46.48
p07,2013-09-25,53.69,34.45,50.69,44.01,59.78
p08,2013-09-25,83.35,97.35,78.43,100,100
p09,2013-09-25,44.23,29.40,39.70,48.05,36.05
p10,2013-09-25,100,100,100,100,100
p11,2013-09-24,32.44,40.89,14.76,32.29,28.74
p12,2013-09-24,42.32,34.07,35.04,37.56,35.68
p13,2013-09-24,24.70,34.13,39.41,27.60,29.23
p14,2013-09-24,45.42,38.39,51.16,52.07,58.05
p15,2013-09-24,42.35,41.85,44.45,41.33,46.43
p16,2013-09-25,67.48,70.08,59.51,76.78,48.57
p17,2013-09-25,39.62,42.70,48.57,41.30,26.16
p18,2013-09-25,41.92,56.80,36.54,31.78,13.49
p19,2013-09-25,39.63,38.62,75.50,51.70,29.04
p20,2013-09-25,99.97,69.63,57.45,85.88,46.08
