placette,date,Calluna_Rec,Erica_Rec,Sphagnum_Rec,Sphg.Cuspi_Rec,Molinia_Rec,Eriophorum_Rec,Polytrick,Mousse_Rec
p01,2013-09-24,<5,70,,,90,5,,
p02,2013-09-24,10,60,70,,15,5,,
p03,2013-09-24,40,25,98,,,10,,
p04,2013-09-24,,80,90,,5,<5,,
p05,2013-09-24,<5,<5,100,,15,,,
p06,2013-09-24,<5,70,<5,,70,,,
p07,2013-09-25,,20,100,,45,,,
p08,2013-09-25,,80,20,,,15,,
p09,2013-09-25,,25,<5,,90,,5,
p10,2013-09-25,,90,,,15,,,
p11,2013-09-24,,60,,,40,,,
p12,2013-09-24,,5,,,95,,,
p13,2013-09-24,,5,,,95,,,
p14,2013-09-24,,10,,,85,5,,
p15,2013-09-24,,80,,,20,,,
p16,2013-09-25,,<5,,,95,10,,
p17,2013-09-25,,80,35,,10,<5,,
p18,2013-09-25,,<5,75,,90,,,
p19,2013-09-25,,10,50,,25,,,
p20,2013-09-25,,5,,,95,5,,
