placette,date,PiezoNap,PiezoVeg,NEP_time,Re_time,PAR_Deb,PAR_Fin,Patm_Deb,Patm_Fin,pH,pH_localisation,Cond,Cond_localisation
p01,2013-09-24,28,19,11:10,11:25,9.06,12,99300,99300,4.73,camion,50.5,camion
p02,2013-09-24,19,10,11:37,11:47,11.80,12.45,99300,99300,4.53,camion,48.5,camion
p03,2013-09-24,31,9,12:18,12:27,13.55,13.77,99300,99300,4.63,camion,35.6,camion
p04,2013-09-24,36,29,13:34,13:48,12.30,14.30,99300,99300,5.12,camion,49.4,camion
p05,2013-09-24,24,12,13:59,14:10,15.63,14.8,99300,99300,4.90,camion,39.9,camion
p06,2013-09-24,7,-5,14:25,14:38,15.8,14.8,99300,99300,4.81,camion,33.9,camion
p07,2013-09-25,18.5,5.5,11:22,11:11,2.50,2.05,99100,99100,4.59,camion,49.0,camion
p08,2013-09-25,49,41.5,11:57,12:06,12.15,11.86,99100,99100,4.29,camion,46.2,camion
p09,2013-09-25,28,14.5,12:26,12:38,5.5,5.5,99100,99100,4.55,camion,37.8,camion
p10,2013-09-25,28.5,25.5,12:53,13:04,9.5,5.0,99100,99100,5.02,camion,42.2,camion
p11,2013-09-24,38,24,11:00,11:10,12.41,12.58,99300,99400,NA,NA,NA,NA
p12,2013-09-24,65,39.5,11:49,12:16,4.39,4.21,99300,99400,NA,NA,NA,NA
p13,2013-09-24,83,64,12:49,12:59,16.5,16.81,99300,99300,NA,NA,NA,NA
p14,2013-09-24,77,65,13:30,13:39,14.91,16.23,99300,99300,NA,NA,NA,NA
p15,2013-09-24,63.5,53,14:06,14:16,18.9,17.45,99300,99300,NA,NA,NA,NA
p16,2013-09-25,78,63,13:56,14:04,1.86,2.21,99100,99100,4.93,camion,84.7,camion
p17,2013-09-25,20,11,13:13,13:22,5.88,6.27,99200,99100,4.74,camion,47.7,camion
p18,2013-09-25,74,63,12:37,12:46,7.24,5.75,99100,99100,4.21,camion,64.6,camion
p19,2013-09-25,33.5,16,11:06,11:20,11.24,11.62,99000,99100,4.58,camion,48.7,camion
p20,2013-09-25,25,17,11:55,12:06,11.34,11.96,99100,99100,4.84,camion,41.4,camion
