placette,date,TairDeb,TairFin,Tsurf,T5,T10,T15,T20,T25,T30,T40,T50,T60,T70,T80,T90,T100
p01,2013-09-24,19,22.3,21.7,14.2,13.6,14.9,14.8,14.7,14.5,14.2,14.0,13.7,13.3,13.2,13.8,12.9
p02,2013-09-24,29.3,29.8,22.8,15.4,14,14.2,14.6,15,15.2,15,14.9,14.6,14.4,14.2,13.9,13.7
p03,2013-09-24,30.9,32.7,27,20,16.5,15.6,15.15,15.5,15.4,13.3,14.8,14.6,14.4,14.0,13.9,13.5
p04,2013-09-24,30.4,29.2,29.7,16.3,14.3,14,14,14.2,14.2,14,13.7,13.4,13.4,13.4,,
p05,2013-09-24,34.1,34.9,26,18.5,14.7,14.3,14.1,14.2,14.2,14,13.7,13.4,13.2,12.9,12.5,12.4
p06,2013-09-24,31.5,35.2,24.5,19.8,15.7,14.5,14.2,14.4,14.5,14.3,14.0,13.8,13.5,13.3,13.0,12.8
p07,2013-09-25,19.0,20.5,20.3,14,13.3,13.3,13.4,13.4,13.3,13.1,12.9,12.6,12.5,12.3,12.2,12.1
p08,2013-09-25,23.1,26.7,21.6,14.2,13.0,12.6,12.7,12.8,12.8,12.7,12.5,12.4,12.3,12.3,12.2,
p09,2013-09-25,25.9,28.8,23.5,16.9,14.8,14.6,14.6,14.8,14.6,14.4,14.2,14.0,13.8,13.6,13.3,13.1
p10,2013-09-25,28.6,30.9,23.5,14.3,12.5,12.2,12.3,12.5,12.8,12.8,12.5,12.4,12.2,12.0,,
p11,2013-09-24,17.1,25.3,20.1,12.9,12.4,12.9,13.5,13.8,13.9,13.8,13.6,13.4,13.2,12.9,12.7,12.5
p12,2013-09-24,26.6,27.5,22.8,17.8,14.3,13.0,13.3,13.3,13.3,13.2,,,,,,
p13,2013-09-24,29.1,29.3,22.7,20.2,12.7,11.7,11.7,12.0,12.1,,,,,,,
p14,2013-09-24,30.9,30.4,25.3,23.3,13.5,12.9,12.7,12.6,12.6,,,,,,,
p15,2013-09-24,29.1,32.8,30.2,18.0,13.4,12.0,11.9,12.2,12.4,12.5,12.4,,,,,
p16,2013-09-25,22.9,22.3,19.5,15.8,13.2,12.7,12.8,12.8,12.9,,,,,,,
p17,2013-09-25,25.0,24.7,20.8,16.0,13.5,13.3,13.5,13.8,13.8,13.7,13.4,13.2,13.0,12.8,12.5,
p18,2013-09-25,26.4,26.1,20.4,14.5,13.2,12.9,12.9,13.0,13.0,,,,,,,
p19,2013-09-25,16.8,26.2,19.5,14.2,13.4,13.8,14.0,14.0,13.8,13.4,13.1,12.8,12.5,,,
p20,2013-09-25,26.3,26,24.9,16.0,13.4,13.0,13.0,13.2,13.2,12.9,12.6,,,,,
